pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0
L__NOUN_VERB_VERB	0	7	sing	extend	wrong	generated	The tide to compete in participant	0	False	1939	5	6	The tide to compete in participant enables that Dwarf Armed sports and Professors and tricky Syrian worries are distinguished to migrate soon seldom joint to the Agra in Ireland than al - Laura allegations , and it would be neat to foresee one 's options off the tolerable disappointment . <eos>	-12.0371	-13.202	-13.103	-10.8874	-11.9268	-11.8847	-11.8375	-12.7685	-13.5966	-11.8695	-11.906	-12.9808	-13.0315	-13.7344	-13.6089	-11.4447	-12.3393	-11.8381	-11.9346	-11.5207	-11.4161	-11.5452	-11.9699	-11.373
L__NOUN_VERB_VERB	20	4	sing	adds	correct	generated	The electronic convenience I chose apparently from them in the first station	0	False	932	10	12	The electronic convenience I chose apparently from them in the first station appears because my functional connection who indicated with them was telling out on his undecided . <eos>	-10.1587	-14.4838	-13.3662	-15.1251	-13.1185	-10.6803	-14.706	-13.8056	-13.9409	-13.8491	-11.5452	-11.7993	-12.5028	-12.1237	-10.5789	-12.0784	-14.3957	-10.8497	-12.0961	-12.7788	-13.7857	-13.1299	-13.8011	-15.1225
L__NOUN_VERB_VERB	20	4	sing	add	wrong	generated	The electronic convenience I chose apparently from them in the first station	0	False	2283	10	12	The electronic convenience I chose apparently from them in the first station appears because my functional connection who indicated with them was telling out on his undecided . <eos>	-13.6015	-14.1868	-14.1012	-15.4136	-13.0319	-12.6243	-13.4931	-14.0539	-14.1208	-13.3842	-12.9044	-12.6284	-13.8131	-11.9419	-11.2911	-12.5943	-15.7832	-11.6525	-14.1886	-15.2879	-14.2648	-13.3923	-12.2619	-13.8774
L__NOUN_VERB_VERB	13	5	sing	explains	correct	generated	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	0	True	1823	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee indicates whenever you 're crucial indefinitely "" and said snakes to the "" Prophet Scotland "" tension watching that "" basically he belonged Dear policies to wrap neatly preventive as a room "" . <eos>"	-17.3083	-16.4183	-16.6397	-16.0909	-14.6515	-15.3141	-16.3294	-16.8197	-15.0875	-15.2423	-16.2274	-15.8086	-15.9083	-18.2668	-16.1226	-17.6762	-16.2938	-14.764	-15.5174	-14.3898	-16.0402	-15.7827	-9.75511	-14.5047
L__NOUN_VERB_VERB	13	5	sing	explain	wrong	generated	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee"	0	True	2136	5	37	"Because of the musician that his timely comparison with Ray EI had protected him , he contacted rewards solid as : "" You can regret a pewter and a master , eighteen capacity you ca n't foresee indicates whenever you 're crucial indefinitely "" and said snakes to the "" Prophet Scotland "" tension watching that "" basically he belonged Dear policies to wrap neatly preventive as a room "" . <eos>"	-13.3702	-13.1208	-12.1598	-13.2392	-12.8534	-12.0389	-12.801	-13.5131	-11.8394	-11.6224	-11.9233	-11.2933	-13.5908	-13.0519	-14.2121	-13.7413	-13.3554	-10.7226	-14.2377	-13.3992	-13.5463	-11.4797	-12.5857	-12.0013
L__NOUN_VERB_VERB	8	9	sing	spends	correct	generated	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her	0	True	506	4	23	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her lets approximately . <eos>	-12.2328	-13.4407	-12.8557	-12.1936	-10.7819	-11.4441	-13.7158	-12.3108	-13.0155	-11.3846	-11.5051	-11.5556	-12.4551	-13.3022	-12.8532	-12.672	-11.4955	-11.5188	-12.3993	-11.8371	-11.4604	-12.0513	-15.3745	-11.6577
L__NOUN_VERB_VERB	8	9	sing	spend	wrong	generated	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her	0	True	2073	4	23	About expect your wheels to burn this incredibly to their managers , and separately apart , so that the crate to harass her lets approximately . <eos>	-12.1671	-12.3845	-11.5845	-10.9411	-11.1059	-11.1566	-12.1736	-11.3725	-11.3016	-11.6535	-9.97098	-10.8373	-11.2936	-11.6828	-11.807	-13.1108	-11.0522	-11.2818	-11.2729	-10.9265	-10.6651	-10.9329	-13.2076	-9.67667
L__NOUN_VERB_VERB	5	6	sing	understands	correct	generated	Especially , the impressionist acupuncture designated for embarrassment	0	True	228	4	8	Especially , the impressionist acupuncture designated for embarrassment explains whether our Account ( the ecological application and thus the opportunity they spend to postpone ) is or affects not an essential kindness under the ranch . <eos>	-14.435	-18.5292	-15.7544	-15.1724	-13.614	-15.8731	-15.5624	-14.7494	-15.1775	-16.2293	-16.2149	-16.718	-14.9952	-14.6725	-14.9433	-17.4582	-16.0095	-15.7789	-15.2579	-16.1744	-15.5487	-16.6601	-16.4717	-16.53
L__NOUN_VERB_VERB	5	6	sing	understand	wrong	generated	Especially , the impressionist acupuncture designated for embarrassment	0	True	2723	4	8	Especially , the impressionist acupuncture designated for embarrassment explains whether our Account ( the ecological application and thus the opportunity they spend to postpone ) is or affects not an essential kindness under the ranch . <eos>	-14.2679	-15.5823	-13.6142	-13.8958	-14.8422	-14.4612	-13.8505	-13.4726	-10.9967	-13.9865	-14.3969	-13.9842	-14.4209	-14.0419	-13.8481	-14.9491	-14.2729	-14.9808	-14.1794	-15.0031	-14.2657	-13.45	-13.3824	-13.6731
R__VERB_NOUN_CCONJ_VERB	9	4	plur	serve	correct	generated	I refuse this adequate clinic and	0	False	7238	5	6	I refuse this adequate clinic and require to vary this superb income . <eos>	-8.17245	-9.40071	-7.39692	-7.76113	-7.93163	-8.9964	-8.57717	-7.79618	-7.67944	-8.07707	-7.91605	-8.02584	-8.71364	-8.11287	-7.7165	-6.62343	-7.97013	-7.62429	-8.17891	-10.469	-7.45684	-7.40822	-8.5174	-8.65723
R__VERB_NOUN_CCONJ_VERB	9	4	plur	serves	wrong	generated	I refuse this adequate clinic and	0	False	4701	5	6	I refuse this adequate clinic and require to vary this superb income . <eos>	-7.62025	-8.71719	-7.58059	-8.23371	-9.96561	-8.18198	-8.50633	-7.70587	-7.88313	-9.39142	-9.05428	-7.84952	-7.90409	-7.7568	-8.09132	-9.04591	-7.31863	-8.52346	-8.45661	-9.16443	-8.45583	-7.67336	-7.48954	-9.84742
L__NOUN_VERB_VERB	18	4	sing	understands	correct	generated	The unacceptable privileged photography I have filled	0	False	228	4	7	The unacceptable privileged photography I have filled affects that in the kidney of Agra eighteen complaint of the voting is individually described in the career the journey before the tug , this therapy paid after the tripartite harness . <eos>	-14.5967	-15.7022	-18.3252	-15.5613	-14.8367	-16.6037	-17.1171	-18.0849	-16.0838	-16.9772	-15.9878	-15.1123	-16.7854	-17.0658	-16.3589	-16.5784	-16.4167	-14.663	-16.7543	-15.9207	-16.8698	-17.0507	-16.5784	-14.2641
L__NOUN_VERB_VERB	18	4	sing	understand	wrong	generated	The unacceptable privileged photography I have filled	0	False	2723	4	7	The unacceptable privileged photography I have filled affects that in the kidney of Agra eighteen complaint of the voting is individually described in the career the journey before the tug , this therapy paid after the tripartite harness . <eos>	-15.2959	-14.2019	-16.4518	-13.469	-12.349	-12.9939	-13.2936	-13.9066	-15.5074	-13.2156	-13.8935	-13.3574	-16.955	-16.1108	-16.7636	-16.2694	-13.8505	-14.3169	-14.1395	-14.9713	-14.7729	-13.1405	-12.5385	-14.1692
R__VERB_NOUN_CCONJ_VERB	1	2	plur	respond	correct	generated	I refer we perfectly provide the pub and	0	False	1271	4	8	I refer we perfectly provide the pub and propose to CST . <eos>	-10.4699	-11.3015	-11.5834	-10.8765	-10.5992	-11.4093	-10.3792	-11.5059	-9.04028	-9.27506	-10.2559	-9.11432	-10.7048	-11.6872	-10.9574	-10.5432	-10.2725	-10.3608	-10.0715	-9.68685	-10.4282	-9.46157	-12.0344	-9.37714
R__VERB_NOUN_CCONJ_VERB	1	2	plur	responds	wrong	generated	I refer we perfectly provide the pub and	0	False	375	4	8	I refer we perfectly provide the pub and propose to CST . <eos>	-10.9844	-10.8947	-11.5234	-10.1053	-10.0776	-9.30574	-9.6518	-10.2076	-10.751	-9.44432	-10.524	-9.43859	-9.09517	-10.4927	-10.5264	-10.2526	-9.97774	-10.7539	-9.76551	-9.84994	-9.59058	-10.0024	-16.0432	-10.949
R__VERB_NOUN_CCONJ_VERB	4	2	plur	toss	correct	generated	Come me throw if you pay any moors or	0	False	236	4	9	Come me throw if you pay any moors or suck anything unlimited . <eos>	-9.76797	-11.6888	-9.13109	-8.18403	-9.33555	-8.85058	-9.35811	-8.80357	-9.49649	-7.43025	-8.35306	-9.20239	-9.58246	-10.5497	-9.22714	-10.7841	-7.45146	-7.47889	-8.79972	-9.66355	-8.68162	-8.39075	-16.4177	-10.2788
R__VERB_NOUN_CCONJ_VERB	4	2	plur	tosses	wrong	generated	Come me throw if you pay any moors or	0	False	69	4	9	Come me throw if you pay any moors or suck anything unlimited . <eos>	-11.2458	-11.3467	-11.4131	-11.6236	-11.79	-11.2049	-9.60939	-10.7416	-9.94257	-12.1746	-10.7065	-13.8063	-10.7679	-10.2862	-10.8588	-10.4294	-11.3794	-9.53292	-10.956	-11.2875	-9.84657	-10.1628	-19.2243	-12.9317
L__NOUN_VERB_VERB	24	0	plur	look	correct	original	Workers who do these introductions	0	False	5041	5	5	Workers who do these introductions look at the interaction objectively ; and it 's good to see they are able and willing to say no if they feel there would be a problem . <eos>	-8.77997	-8.15699	-9.77054	-9.03448	-8.1296	-9.02401	-9.02462	-8.57769	-8.67279	-9.64459	-8.84444	-8.98939	-9.16044	-11.1612	-9.32442	-8.8741	-8.44474	-9.25822	-10.6037	-9.37693	-9.52489	-8.689	-9.4741	-11.072
L__NOUN_VERB_VERB	24	0	plur	looks	wrong	original	Workers who do these introductions	0	False	1653	5	5	Workers who do these introductions look at the interaction objectively ; and it 's good to see they are able and willing to say no if they feel there would be a problem . <eos>	-11.4263	-12.0406	-11.1238	-11.8608	-13.6815	-11.6183	-11.8282	-12.9581	-11.4833	-12.094	-12.8274	-12.0573	-11.1568	-12.4469	-12.4715	-12.1041	-11.6373	-12.4761	-12.3449	-11.7319	-12.8468	-13.4406	-10.8378	-11.3674
R__VERB_NOUN_CCONJ_VERB	14	0	sing	spills	correct	original	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	0	False	118	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot . <eos>	-11.7904	-13.028	-11.2702	-11.6102	-13.8645	-12.4462	-10.6989	-12.344	-11.8964	-12.5232	-12.2041	-12.8034	-12.1901	-11.2515	-13.0673	-12.5317	-12.6297	-11.1855	-11.8737	-13.6027	-11.8471	-11.8672	-18.9187	-12.1493
R__VERB_NOUN_CCONJ_VERB	14	0	sing	spill	wrong	original	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	0	False	220	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot . <eos>	-13.1197	-12.5606	-13.2651	-13.7023	-14.2434	-13.6986	-12.5754	-13.2914	-12.8386	-13.5653	-13.0648	-12.6225	-14.147	-13.7681	-15.1065	-13.3676	-13.3875	-11.6029	-13.8485	-13.4366	-13.2108	-11.8929	-17.3053	-13.968
R__VERB_NOUN_CCONJ_VERB	5	8	plur	reflect	correct	generated	Come me create if you tell any records or	0	False	1968	4	9	Come me create if you tell any records or recognize anything ugly . <eos>	-10.7652	-11.0679	-10.9012	-10.2666	-13.2698	-10.7188	-9.74835	-10.3809	-10.5981	-11.0932	-9.63828	-9.89225	-9.00522	-11.4051	-10.7384	-11.8858	-10.8742	-9.26794	-11.5256	-9.22511	-11.07	-11.2387	-10.0213	-10.1017
R__VERB_NOUN_CCONJ_VERB	5	8	plur	reflects	wrong	generated	Come me create if you tell any records or	0	False	1138	4	9	Come me create if you tell any records or recognize anything ugly . <eos>	-11.4986	-12.5119	-10.6303	-11.0809	-12.8627	-12.2723	-12.3834	-12.4267	-12.4848	-12.8955	-11.0569	-13.2262	-11.2602	-12.3942	-11.3785	-13.5433	-11.582	-12.0058	-12.0466	-10.6266	-12.203	-12.8772	-11.1943	-12.1577
R__VERB_NOUN_CCONJ_VERB	1	9	plur	realise	correct	generated	I decide we willingly prefer the hamster and	0	False	247	4	8	I decide we willingly prefer the hamster and meet to McDonald . <eos>	-10.1866	-10.4321	-11.7298	-11.1092	-10.6438	-10.806	-10.6277	-10.0218	-10.0324	-10.5834	-10.7337	-9.45187	-12.4484	-11.5476	-9.70275	-12.6672	-10.3917	-10.6041	-10.1681	-11.4214	-9.76953	-11.4592	-15.7241	-10.7332
R__VERB_NOUN_CCONJ_VERB	1	9	plur	realises	wrong	generated	I decide we willingly prefer the hamster and	0	False	203	4	8	I decide we willingly prefer the hamster and meet to McDonald . <eos>	-9.75853	-11.1639	-12.0419	-10.2196	-9.67684	-9.97934	-9.17494	-9.93647	-8.74506	-10.6823	-11.5546	-8.94803	-11.1178	-11.1869	-9.77716	-9.50875	-10.0007	-10.6677	-8.92502	-11.1063	-10.1992	-10.2883	-15.862	-12.807
L__NOUN_VERB_VERB	19	5	plur	assume	correct	generated	the electoral parties we tolerate in our label	1	False	1201	6	8	the electoral parties we tolerate in our label enjoy ; we manage percentage tutorial for easter , climate chili and warning - rein for Christianity . <eos>	-10.1	-12.3162	-9.51977	-8.83094	-10.5716	-9.22289	-11.2472	-8.63687	-9.75388	-9.09756	-8.74987	-11.3891	-10.7506	-11.1709	-8.96235	-11.981	-9.21505	-10.0519	-12.6705	-11.8682	-8.57318	-9.63618	-12.445	-10.6129
L__NOUN_VERB_VERB	19	5	plur	assumes	wrong	generated	the electoral parties we tolerate in our label	1	False	647	6	8	the electoral parties we tolerate in our label enjoy ; we manage percentage tutorial for easter , climate chili and warning - rein for Christianity . <eos>	-10.6459	-13.7969	-9.78204	-10.0379	-11.0184	-11.4367	-10.1314	-11.679	-12.514	-10.7924	-11.5389	-13.5025	-11.3183	-10.9691	-9.14231	-10.051	-9.80902	-11.6258	-12.1136	-12.0787	-11.2634	-12.2772	-12.9759	-12.6711
L__NOUN_VERB_VERB	13	1	sing	enters	correct	generated	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify"	0	True	1492	5	37	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify understands why you 're toxic increasingly "" and testified beliefs to the "" Lewis Texas "" waist pulling that "" largely he booked Rude plants to concur rapidly sensitive as a growth "" . <eos>"	-17.0923	-15.6175	-16.3523	-16.1369	-15.9969	-14.7576	-15.7159	-15.2348	-16.0881	-14.8715	-16.4174	-14.3915	-15.7191	-16.3828	-18.101	-18.0582	-16.3424	-16.0819	-16.0122	-15.0316	-15.6523	-16.1515	-11.685	-15.615
L__NOUN_VERB_VERB	13	1	sing	enter	wrong	generated	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify"	0	True	3610	5	37	"Because of the traveler that his conservative lunch with TX England had dominated him , he began times massive as : "" You can reflect a soup and a propane , eighteen shrapnel you ca n't verify understands why you 're toxic increasingly "" and testified beliefs to the "" Lewis Texas "" waist pulling that "" largely he booked Rude plants to concur rapidly sensitive as a growth "" . <eos>"	-12.1349	-11.8314	-11.6762	-11.3252	-12.702	-11.708	-12.1958	-11.4276	-12.3049	-11.7151	-11.54	-12.0054	-11.1624	-14.006	-14.2247	-13.9329	-12.1295	-12.7544	-11.8647	-12.7671	-12.1924	-12.0774	-10.7238	-10.5761
L__NOUN_VERB_VERB	13	8	sing	ensures	correct	generated	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come"	0	True	399	5	37	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come involves why you 're visual effectively "" and belonged courses to the "" Baudelaire Brazil "" team preventing that "" potentially he refused Few policies to settle just western as a foster "" . <eos>"	-20.3616	-17.7128	-18.074	-16.5643	-17.087	-16.2509	-18.4833	-18.1293	-17.2699	-17.973	-16.988	-14.8257	-18.4536	-18.5047	-18.502	-19.1144	-17.5074	-17.7673	-17.4666	-17.0893	-17.1682	-17.0856	-15.7908	-16.1025
L__NOUN_VERB_VERB	13	8	sing	ensure	wrong	generated	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come"	0	True	3569	5	37	"Because of the spreadsheet that his hostile tomorrow with Janet Alaska had tended him , he waited cm necessary as : "" You can foresee a hour and a thermometer , eighteen requirement you ca n't come involves why you 're visual effectively "" and belonged courses to the "" Baudelaire Brazil "" team preventing that "" potentially he refused Few policies to settle just western as a foster "" . <eos>"	-18.0869	-16.3514	-16.7687	-15.0442	-13.4384	-14.7737	-15.4204	-15.5387	-14.7759	-14.1831	-14.9619	-13.4748	-17.897	-16.0886	-15.946	-16.4581	-15.8965	-15.6147	-14.366	-17.2433	-15.2997	-15.4419	-11.3095	-15.61
L__NOUN_VERB_VERB	17	2	sing	affirms	correct	generated	The healthy trip masks realize there	1	False	80	4	6	The healthy trip masks realize there appears lose to the freighter . <eos>	-14.6939	-16.1959	-15.9008	-14.9	-15.8152	-16.8802	-14.163	-15.9804	-13.907	-15.5694	-15.4878	-14.3665	-15.6376	-15.9995	-15.7018	-16.4555	-16.2603	-16.4552	-16.4593	-17.4068	-16.1637	-16.9002	-18.5408	-15.5699
L__NOUN_VERB_VERB	17	2	sing	affirm	wrong	generated	The healthy trip masks realize there	1	False	127	4	6	The healthy trip masks realize there appears lose to the freighter . <eos>	-15.8942	-16.9127	-15.4887	-15.1257	-15.8704	-16.7185	-14.8928	-16.1212	-13.553	-15.1871	-15.574	-16.7873	-15.6895	-17.2014	-16.7365	-16.2739	-15.997	-16.0074	-17.2607	-16.3015	-15.3244	-15.7901	-19.0003	-14.8322
R__VERB_NOUN_CCONJ_VERB	8	9	sing	hears	correct	generated	It depends the trader for discomfort announcement and	0	False	400	7	8	It depends the trader for discomfort announcement and sends , “ We are deployed that the Heard should not adopt with conventional - conversation colleges who pose to collect and develop directly and onwards in the residents , directions , and habits of homemade curve . ” <eos>	-9.68927	-11.7081	-9.59219	-9.93049	-9.84634	-10.8029	-7.82635	-10.4441	-9.22125	-10.5675	-9.54418	-12.6009	-9.28084	-8.86843	-9.51606	-9.26545	-9.97455	-10.6976	-10.7266	-10.398	-10.1926	-9.30969	-15.9525	-11.7406
R__VERB_NOUN_CCONJ_VERB	8	9	sing	hear	wrong	generated	It depends the trader for discomfort announcement and	0	False	1692	7	8	It depends the trader for discomfort announcement and sends , “ We are deployed that the Heard should not adopt with conventional - conversation colleges who pose to collect and develop directly and onwards in the residents , directions , and habits of homemade curve . ” <eos>	-9.74289	-10.6896	-10.2925	-10.0784	-11.084	-10.907	-8.93253	-10.0433	-12.078	-10.9409	-8.71608	-12.5846	-9.71	-10.9629	-10.3323	-10.1226	-9.93331	-11.1842	-10.8118	-12.416	-9.81464	-9.55547	-12.1727	-13.5549
L__NOUN_VERB_VERB	17	4	sing	enjoys	correct	generated	The maximum dirt pairs become there	1	False	556	4	6	The maximum dirt pairs become there explains translate to the theatre . <eos>	-13.663	-14.8986	-12.6747	-13.7045	-15.992	-14.0519	-13.164	-12.6391	-11.9123	-13.1557	-13.0956	-14.3008	-12.9135	-15.4974	-11.9919	-14.2135	-13.8099	-13.4996	-12.9581	-13.4513	-12.7321	-12.7088	-15.6513	-13.0145
L__NOUN_VERB_VERB	17	4	sing	enjoy	wrong	generated	The maximum dirt pairs become there	1	False	1428	4	6	The maximum dirt pairs become there explains translate to the theatre . <eos>	-13.061	-14.9069	-11.6231	-12.2535	-14.3003	-12.6273	-13.2178	-12.4941	-11.4909	-12.8593	-11.8456	-15.1702	-11.6631	-12.7512	-10.3493	-12.0874	-12.0348	-13.6104	-11.159	-12.9094	-12.3038	-11.8457	-12.7457	-13.2734
L__NOUN_VERB_VERB	5	3	sing	operates	correct	generated	Additionally , the urban interceptor cleaned for aunt	0	True	3023	4	8	Additionally , the urban interceptor cleaned for aunt includes whether our Advice ( the electrostatic oil and fully the instability they provide to participate ) is or objects not an odd honesty under the responsibility . <eos>	-14.6973	-9.5171	-13.4086	-11.6058	-13.8175	-12.6361	-11.9668	-11.9029	-15.0494	-11.5936	-13.4131	-8.2093	-15.1927	-12.2201	-11.8682	-14.6528	-13.8241	-13.1961	-12.4474	-9.50839	-12.9352	-11.9077	-8.21929	-9.94139
L__NOUN_VERB_VERB	5	3	sing	operate	wrong	generated	Additionally , the urban interceptor cleaned for aunt	0	True	3809	4	8	Additionally , the urban interceptor cleaned for aunt includes whether our Advice ( the electrostatic oil and fully the instability they provide to participate ) is or objects not an odd honesty under the responsibility . <eos>	-16.7856	-10.8061	-13.5304	-13.1405	-15.942	-13.0573	-12.7719	-13.3344	-12.8511	-13.89	-13.8509	-9.59311	-15.2873	-12.2546	-14.7549	-15.7043	-13.4138	-13.5171	-13.7843	-11.485	-14.1257	-13.7847	-10.1958	-10.732
R__VERB_NOUN_CCONJ_VERB	7	2	sing	recommends	correct	generated	As you suffer above the provision , the plenty of the superior migrant goes your drama and	0	True	311	4	17	As you suffer above the provision , the plenty of the superior migrant goes your drama and sends you contain newer and clearer . <eos>	-11.3914	-11.9707	-12.5484	-12.5169	-11.5631	-13.0121	-11.7656	-10.995	-11.9787	-13.2524	-12.114	-13.736	-11.1646	-10.532	-11.909	-11.3786	-12.2163	-12.355	-12.1392	-10.2346	-11.78	-11.4269	-16.3482	-12.6407
R__VERB_NOUN_CCONJ_VERB	7	2	sing	recommend	wrong	generated	As you suffer above the provision , the plenty of the superior migrant goes your drama and	0	True	454	4	17	As you suffer above the provision , the plenty of the superior migrant goes your drama and sends you contain newer and clearer . <eos>	-11.3808	-11.959	-10.8656	-12.38	-10.9041	-11.4754	-10.5743	-11.8407	-10.4228	-11.4869	-11.2578	-13.96	-12.1324	-9.65397	-10.3881	-10.4837	-11.8347	-10.1981	-9.75574	-12.7732	-10.3283	-10.2421	-12.7092	-10.9844
L__NOUN_VERB_VERB	23	9	sing	meets	correct	generated	Well , unless indeed quietly the third position he phoned in the marketing	0	True	1994	6	13	Well , unless indeed quietly the third position he phoned in the marketing reads out . <eos>	-13.624	-12.936	-11.5345	-10.6054	-11.8428	-11.885	-12.7736	-12.8589	-11.7325	-9.67961	-10.8687	-15.3423	-14.8784	-14.5876	-11.5178	-12.3419	-11.7336	-11.8023	-13.8546	-15.2497	-10.662	-10.1925	-10.8923	-13.9467
L__NOUN_VERB_VERB	23	9	sing	meet	wrong	generated	Well , unless indeed quietly the third position he phoned in the marketing	0	True	5674	6	13	Well , unless indeed quietly the third position he phoned in the marketing reads out . <eos>	-12.3071	-10.3647	-12.1176	-9.49828	-11.3441	-10.5483	-10.2139	-11.7044	-10.993	-10.0001	-10.4499	-9.99751	-12.7215	-11.2744	-11.3637	-11.4555	-11.4786	-10.8682	-11.9851	-11.0585	-10.2817	-10.8326	-11.1204	-10.2958
R__VERB_NOUN_CCONJ_VERB	9	3	plur	come	correct	generated	I deserve this arrogant shine and	0	False	10674	5	6	I deserve this arrogant shine and represent to throw this rude id . <eos>	-6.4709	-7.96146	-7.03272	-6.83749	-5.87845	-6.98256	-8.55385	-8.13834	-6.66995	-7.88358	-7.57406	-7.12109	-6.93578	-6.79087	-7.24417	-7.37604	-7.18277	-6.54683	-7.16584	-8.78503	-6.97799	-7.27254	-9.27067	-6.70028
R__VERB_NOUN_CCONJ_VERB	9	3	plur	comes	wrong	generated	I deserve this arrogant shine and	0	False	5252	5	6	I deserve this arrogant shine and represent to throw this rude id . <eos>	-7.36937	-8.84423	-7.17573	-7.82868	-7.65602	-8.17101	-10.038	-9.13007	-7.5893	-9.16569	-8.6746	-8.52328	-8.35568	-6.41802	-7.74642	-7.55817	-7.44024	-7.67547	-9.62582	-7.85655	-7.74695	-7.40697	-8.66242	-9.38198
L__NOUN_VERB_VERB	3	8	sing	tends	correct	generated	I remain the salsa you preceded to me	0	False	1298	5	8	I remain the salsa you preceded to me leads to the Belgium Pew at Europe ( ran in Nicobar ) . <eos>	-15.51	-15.4065	-15.1735	-15.3122	-14.5688	-16.3623	-16.2917	-15.1572	-14.448	-15.055	-14.799	-14.5326	-15.1505	-14.9593	-15.2888	-14.9609	-15.3173	-14.3787	-15.25	-13.5463	-14.4215	-14.3991	-12.1959	-12.6958
L__NOUN_VERB_VERB	3	8	sing	tend	wrong	generated	I remain the salsa you preceded to me	0	False	3201	5	8	I remain the salsa you preceded to me leads to the Belgium Pew at Europe ( ran in Nicobar ) . <eos>	-12.1575	-11.3941	-14.2041	-12.8932	-12.2021	-14.2539	-13.3688	-12.2506	-11.9519	-12.5451	-12.5096	-12.0403	-12.9915	-14.6084	-13.8707	-12.5373	-12.8122	-12.5269	-12.6127	-10.7455	-12.0312	-12.5396	-9.82186	-10.1646
L__NOUN_VERB_VERB	16	1	sing	includes	correct	generated	The richest fee you can dial in Agra	0	False	10564	6	8	The richest fee you can dial in Agra offers to migrate to a selection . <eos>	-9.95442	-11.4259	-7.89697	-9.45646	-9.23975	-6.95361	-10.6538	-12.1674	-9.4837	-10.9345	-7.95542	-11.6456	-8.01609	-7.47995	-8.79385	-9.58477	-8.66267	-7.73948	-11.5008	-13.4896	-9.34625	-12.064	-7.97793	-13.1814
L__NOUN_VERB_VERB	16	1	sing	include	wrong	generated	The richest fee you can dial in Agra	0	False	24625	6	8	The richest fee you can dial in Agra offers to migrate to a selection . <eos>	-8.3424	-7.66239	-8.10766	-10.0833	-9.37123	-7.51673	-9.49772	-11.3182	-7.1332	-7.3472	-7.6978	-8.71997	-9.02187	-8.4886	-8.3775	-10.5381	-9.42384	-5.98162	-9.59069	-8.77212	-9.92225	-9.68585	-7.713	-9.38164
