pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden650_batch64_dropout0.2_lr10.0
L__NOUN_VERB_VERB	16	8	sing	extends	correct	generated	The largest publication you can describe in Enquirer	0	False	1375	6	8	The largest publication you can describe in Enquirer enjoys to manipulate to a requirement . <eos>	-12.5364
L__NOUN_VERB_VERB	16	8	sing	extend	wrong	generated	The largest publication you can describe in Enquirer	0	False	1939	6	8	The largest publication you can describe in Enquirer enjoys to manipulate to a requirement . <eos>	-14.0245
R__VERB_NOUN_CCONJ_VERB	12	0	sing	goes	correct	original	Look for a lot of stripes in their head that starts from the beak and	0	False	4325	5	15	Look for a lot of stripes in their head that starts from the beak and goes back to the back fo the bird . <eos>	-5.16107
R__VERB_NOUN_CCONJ_VERB	12	0	sing	go	wrong	original	Look for a lot of stripes in their head that starts from the beak and	0	False	11429	5	15	Look for a lot of stripes in their head that starts from the beak and goes back to the back fo the bird . <eos>	-7.28199
R__VERB_NOUN_CCONJ_VERB	10	1	plur	point	correct	generated	You apply the regime and	0	False	19649	4	5	You apply the regime and deserve pig discovery into the clinic . <eos>	-9.44622
R__VERB_NOUN_CCONJ_VERB	10	1	plur	points	wrong	generated	You apply the regime and	0	False	12408	4	5	You apply the regime and deserve pig discovery into the clinic . <eos>	-11.1766
R__VERB_NOUN_CCONJ_VERB	15	1	sing	feels	correct	generated	If you seem a wealth who will forget to you and deliver he will initiate and then retaliate his chapter , and not recreate what he is growing about whenever he remembers plants at extensive findings and	0	True	1141	6	37	If you seem a wealth who will forget to you and deliver he will initiate and then retaliate his chapter , and not recreate what he is growing about whenever he remembers plants at extensive findings and protects they allow what you prefer , why they will not hesitate for you , submit to this history ... he is the aviation for you . <eos>	-7.17525
R__VERB_NOUN_CCONJ_VERB	15	1	sing	feel	wrong	generated	If you seem a wealth who will forget to you and deliver he will initiate and then retaliate his chapter , and not recreate what he is growing about whenever he remembers plants at extensive findings and	0	True	3157	6	37	If you seem a wealth who will forget to you and deliver he will initiate and then retaliate his chapter , and not recreate what he is growing about whenever he remembers plants at extensive findings and protects they allow what you prefer , why they will not hesitate for you , submit to this history ... he is the aviation for you . <eos>	-8.75947
L__NOUN_VERB_VERB	8	8	sing	beats	correct	generated	Absolutely imagine your consulates to register this again to their trips , and thereby immensely , so that the web to grab her	0	True	644	4	23	Absolutely imagine your consulates to register this again to their trips , and thereby immensely , so that the web to grab her brings efficiently . <eos>	-12.6449
L__NOUN_VERB_VERB	8	8	sing	beat	wrong	generated	Absolutely imagine your consulates to register this again to their trips , and thereby immensely , so that the web to grab her	0	True	2366	4	23	Absolutely imagine your consulates to register this again to their trips , and thereby immensely , so that the web to grab her brings efficiently . <eos>	-11.1532
L__NOUN_VERB_VERB	3	7	sing	kills	correct	generated	I describe the yoga you caused to me	0	False	1088	5	8	I describe the yoga you caused to me serves to the Brad Lewiston at Ono ( shown in Corps ) . <eos>	-15.1863
L__NOUN_VERB_VERB	3	7	sing	kill	wrong	generated	I describe the yoga you caused to me	0	False	3481	5	8	I describe the yoga you caused to me serves to the Brad Lewiston at Ono ( shown in Corps ) . <eos>	-11.5486
L__NOUN_VERB_VERB	10	9	sing	allows	correct	generated	The revolutionary stream I carried this welfare	0	False	5948	5	7	The revolutionary stream I carried this welfare exists to accept anyone looming this if they remain of some purse I can compete meet a weight to this Deal TIME . <eos>	-10.0392
L__NOUN_VERB_VERB	10	9	sing	allow	wrong	generated	The revolutionary stream I carried this welfare	0	False	8990	5	7	The revolutionary stream I carried this welfare exists to accept anyone looming this if they remain of some purse I can compete meet a weight to this Deal TIME . <eos>	-12.4572
L__NOUN_VERB_VERB	14	6	sing	lacks	correct	generated	A Heard bedding attempted in Brazil twenty	0	False	693	5	7	"A Heard bedding attempted in Brazil twenty keeps , "" Due to its rebel astride the Lennon GMT , UV has predominantly been a neighborhood to the Land . <eos>"	-18.343
L__NOUN_VERB_VERB	14	6	sing	lack	wrong	generated	A Heard bedding attempted in Brazil twenty	0	False	7801	5	7	"A Heard bedding attempted in Brazil twenty keeps , "" Due to its rebel astride the Lennon GMT , UV has predominantly been a neighborhood to the Land . <eos>"	-18.5252
L__NOUN_VERB_VERB	19	2	plur	employ	correct	generated	the unthinkable regulations we continue in our city	1	False	1050	6	8	the unthinkable regulations we continue in our city admit ; we remain movement button for easter , scene government and comparison - bird for Way . <eos>	-11.5371
L__NOUN_VERB_VERB	19	2	plur	employs	wrong	generated	the unthinkable regulations we continue in our city	1	False	805	6	8	the unthinkable regulations we continue in our city admit ; we remain movement button for easter , scene government and comparison - bird for Way . <eos>	-12.0198
R__VERB_NOUN_CCONJ_VERB	6	4	plur	come	correct	generated	If you suppose any chores or	0	False	10674	4	6	If you suppose any chores or manage any epithet abruptly abroad , please see Tour Range at fifteen or FBI NPR at three . <eos>	-9.55441
R__VERB_NOUN_CCONJ_VERB	6	4	plur	comes	wrong	generated	If you suppose any chores or	0	False	5252	4	6	If you suppose any chores or manage any epithet abruptly abroad , please see Tour Range at fifteen or FBI NPR at three . <eos>	-11.0705
R__VERB_NOUN_CCONJ_VERB	3	1	plur	provide	correct	generated	Please transmit me rush if you wash any martyrs or	0	False	12768	4	10	Please transmit me rush if you wash any martyrs or suffer anything apparent . <eos>	-7.94285
R__VERB_NOUN_CCONJ_VERB	3	1	plur	provides	wrong	generated	Please transmit me rush if you wash any martyrs or	0	False	7409	4	10	Please transmit me rush if you wash any martyrs or suffer anything apparent . <eos>	-11.5442
R__VERB_NOUN_CCONJ_VERB	0	7	plur	read	correct	generated	Leaders make the arrangement but	0	False	5444	4	5	Leaders make the arrangement but condemn her painful knife and the loading pays . <eos>	-10.3533
R__VERB_NOUN_CCONJ_VERB	0	7	plur	reads	wrong	generated	Leaders make the arrangement but	0	False	923	4	5	Leaders make the arrangement but condemn her painful knife and the loading pays . <eos>	-13.4044
R__VERB_NOUN_CCONJ_VERB	14	9	sing	suspects	correct	generated	The first commitment you begin whenever you apologize on bedroom appears that the professionalism network rhythmically focuses out the revision and	0	False	530	5	21	The first commitment you begin whenever you apologize on bedroom appears that the professionalism network rhythmically focuses out the revision and begins into the counsel clock . <eos>	-13.2304
R__VERB_NOUN_CCONJ_VERB	14	9	sing	suspect	wrong	generated	The first commitment you begin whenever you apologize on bedroom appears that the professionalism network rhythmically focuses out the revision and	0	False	798	5	21	The first commitment you begin whenever you apologize on bedroom appears that the professionalism network rhythmically focuses out the revision and begins into the counsel clock . <eos>	-13.8877
R__VERB_NOUN_CCONJ_VERB	1	3	plur	stick	correct	generated	I come we really thank the honesty and	0	False	959	4	8	I come we really thank the honesty and continue to LA . <eos>	-10.5088
R__VERB_NOUN_CCONJ_VERB	1	3	plur	sticks	wrong	generated	I come we really thank the honesty and	0	False	488	4	8	I come we really thank the honesty and continue to LA . <eos>	-13.9593
L__NOUN_VERB_VERB	20	9	sing	acts	correct	generated	The elegant foreigner I contacted overly from them in the first decade	0	False	4061	10	12	The elegant foreigner I contacted overly from them in the first decade involves because my hospitable therapy who offered with them was facing out on his infinite . <eos>	-12.9014
L__NOUN_VERB_VERB	20	9	sing	act	wrong	generated	The elegant foreigner I contacted overly from them in the first decade	0	False	8285	10	12	The elegant foreigner I contacted overly from them in the first decade involves because my hospitable therapy who offered with them was facing out on his infinite . <eos>	-13.1766
R__VERB_NOUN_CCONJ_VERB	0	1	plur	give	correct	generated	Prices throw the exception but	0	False	9543	4	5	Prices throw the exception but hear her generic page and the ventilator reads . <eos>	-6.70701
R__VERB_NOUN_CCONJ_VERB	0	1	plur	gives	wrong	generated	Prices throw the exception but	0	False	5027	4	5	Prices throw the exception but hear her generic page and the ventilator reads . <eos>	-7.00106
L__NOUN_VERB_VERB	12	1	plur	act	correct	generated	European policies that successfully would collect	1	False	8285	5	6	European policies that successfully would collect assume functions , gate , Lewis backup and some murderers of positions . <eos>	-13.8216
L__NOUN_VERB_VERB	12	1	plur	acts	wrong	generated	European policies that successfully would collect	1	False	4061	5	6	European policies that successfully would collect assume functions , gate , Lewis backup and some murderers of positions . <eos>	-12.3687
R__VERB_NOUN_CCONJ_VERB	12	2	sing	tries	correct	generated	Stay for a salsa of programs in their meditation that cares from the determination and	0	False	2412	5	15	Stay for a salsa of programs in their meditation that cares from the determination and remembers promptly to the substance fo the logic . <eos>	-10.4055
R__VERB_NOUN_CCONJ_VERB	12	2	sing	try	wrong	generated	Stay for a salsa of programs in their meditation that cares from the determination and	0	False	3589	5	15	Stay for a salsa of programs in their meditation that cares from the determination and remembers promptly to the substance fo the logic . <eos>	-10.2202
L__NOUN_VERB_VERB	24	7	plur	blame	correct	generated	Groups who hear these islands	0	False	657	5	5	Groups who hear these islands refer at the egg actually ; and it 's corrupt to tell they are ultimate and global to decide no if they propose there would wear a rain . <eos>	-10.8349
L__NOUN_VERB_VERB	24	7	plur	blames	wrong	generated	Groups who hear these islands	0	False	154	5	5	Groups who hear these islands refer at the egg actually ; and it 's corrupt to tell they are ultimate and global to decide no if they propose there would wear a rain . <eos>	-13.8712
R__VERB_NOUN_CCONJ_VERB	12	1	sing	manages	correct	generated	Try for a gambling of civilians in their thermometer that plays from the tariff and	0	False	1105	5	15	Try for a gambling of civilians in their thermometer that plays from the tariff and provides still to the brother fo the thread . <eos>	-11.7745
R__VERB_NOUN_CCONJ_VERB	12	1	sing	manage	wrong	generated	Try for a gambling of civilians in their thermometer that plays from the tariff and	0	False	1680	5	15	Try for a gambling of civilians in their thermometer that plays from the tariff and provides still to the brother fo the thread . <eos>	-12.642
L__NOUN_VERB_VERB	18	6	sing	advises	correct	generated	The enjoyable lunar coat I have developed	0	False	265	4	7	The enjoyable lunar coat I have developed appears that in the transition of Arabic eight stabilization of the puppet is extremely worked in the notch the population before the welfare , this tide checked after the secretive publication . <eos>	-13.8763
L__NOUN_VERB_VERB	18	6	sing	advise	wrong	generated	The enjoyable lunar coat I have developed	0	False	388	4	7	The enjoyable lunar coat I have developed appears that in the transition of Arabic eight stabilization of the puppet is extremely worked in the notch the population before the welfare , this tide checked after the secretive publication . <eos>	-15.8398
R__VERB_NOUN_CCONJ_VERB	6	5	plur	throw	correct	generated	If you begin any circles or	0	False	1224	4	6	If you begin any circles or believe any inch eventually everywhere , please delete Rolling Laden at thousand or Packard Lynn at two . <eos>	-7.91364
R__VERB_NOUN_CCONJ_VERB	6	5	plur	throws	wrong	generated	If you begin any circles or	0	False	600	4	6	If you begin any circles or believe any inch eventually everywhere , please delete Rolling Laden at thousand or Packard Lynn at two . <eos>	-7.94391
L__NOUN_VERB_VERB	14	3	sing	sounds	correct	generated	A Jolla sky agreed in Robinson trillion	0	False	2143	5	7	"A Jolla sky agreed in Robinson trillion demonstrates , "" Due to its compressor astride the Victor Space , EI has strongly been a sculpture to the Cell . <eos>"	-13.3803
L__NOUN_VERB_VERB	14	3	sing	sound	wrong	generated	A Jolla sky agreed in Robinson trillion	0	False	8474	5	7	"A Jolla sky agreed in Robinson trillion demonstrates , "" Due to its compressor astride the Victor Space , EI has strongly been a sculpture to the Cell . <eos>"	-11.9327
R__VERB_NOUN_CCONJ_VERB	6	7	plur	claim	correct	generated	If you come any channels or	0	False	5689	4	6	If you come any channels or spend any agenda overwhelmingly onboard , please click Venezuela Liberation at five or Boulder Spears at fifty . <eos>	-10.6032
R__VERB_NOUN_CCONJ_VERB	6	7	plur	claims	wrong	generated	If you come any channels or	0	False	6074	4	6	If you come any channels or spend any agenda overwhelmingly onboard , please click Venezuela Liberation at five or Boulder Spears at fifty . <eos>	-11.3048
R__VERB_NOUN_CCONJ_VERB	14	6	sing	feels	correct	generated	The first valuation you come whenever you indicate on money exists that the nation pizza greatly hates out the climate and	0	False	1141	5	21	The first valuation you come whenever you indicate on money exists that the nation pizza greatly hates out the climate and looks into the label warranty . <eos>	-8.03955
R__VERB_NOUN_CCONJ_VERB	14	6	sing	feel	wrong	generated	The first valuation you come whenever you indicate on money exists that the nation pizza greatly hates out the climate and	0	False	3157	5	21	The first valuation you come whenever you indicate on money exists that the nation pizza greatly hates out the climate and looks into the label warranty . <eos>	-6.79538
L__NOUN_VERB_VERB	19	4	plur	assume	correct	generated	the internal democrats we respond in our patronage	1	False	1201	6	8	the internal democrats we respond in our patronage operate ; we manage dollar default for easter , river fence and house - stabilization for Florida . <eos>	-10.0989
L__NOUN_VERB_VERB	19	4	plur	assumes	wrong	generated	the internal democrats we respond in our patronage	1	False	647	6	8	the internal democrats we respond in our patronage operate ; we manage dollar default for easter , river fence and house - stabilization for Florida . <eos>	-11.3899
L__NOUN_VERB_VERB	22	5	sing	acts	correct	generated	The first jail you prefer whenever you agree on bulb	0	False	4061	8	10	The first jail you prefer whenever you agree on bulb understands that the week hybrid precisely takes out the generation and refers into the golf lobster . <eos>	-9.46081
L__NOUN_VERB_VERB	22	5	sing	act	wrong	generated	The first jail you prefer whenever you agree on bulb	0	False	8285	8	10	The first jail you prefer whenever you agree on bulb understands that the week hybrid precisely takes out the generation and refers into the golf lobster . <eos>	-10.985
R__VERB_NOUN_CCONJ_VERB	10	9	plur	put	correct	generated	You expect the curve and	0	False	11670	4	5	You expect the curve and see mistake tsunami into the salsa . <eos>	-7.76575
R__VERB_NOUN_CCONJ_VERB	10	9	plur	puts	wrong	generated	You expect the curve and	0	False	951	4	5	You expect the curve and see mistake tsunami into the salsa . <eos>	-10.2278
R__VERB_NOUN_CCONJ_VERB	3	4	plur	regard	correct	generated	Please dial me survive if you deny any houses or	0	False	2212	4	10	Please dial me survive if you deny any houses or reflect anything unfortunate . <eos>	-13.0965
R__VERB_NOUN_CCONJ_VERB	3	4	plur	regards	wrong	generated	Please dial me survive if you deny any houses or	0	False	833	4	10	Please dial me survive if you deny any houses or reflect anything unfortunate . <eos>	-14.8213
L__NOUN_VERB_VERB	23	5	sing	seems	correct	generated	Well , unless especially necessarily the third dioxide he graduated in the supplier	0	True	3849	6	13	Well , unless especially necessarily the third dioxide he graduated in the supplier stands out . <eos>	-8.79847
L__NOUN_VERB_VERB	23	5	sing	seem	wrong	generated	Well , unless especially necessarily the third dioxide he graduated in the supplier	0	True	2483	6	13	Well , unless especially necessarily the third dioxide he graduated in the supplier stands out . <eos>	-11.6553
L__NOUN_VERB_VERB	11	4	plur	advise	correct	generated	The innovative defensive folks that politely would reduce from boy	2	False	388	7	10	The innovative defensive folks that politely would reduce from boy affirm darkness , statue , criticism , cent , subtle tuna and satisfied sorts of chicken and ships -- faithful as the Khan thread . <eos>	-13.2937
L__NOUN_VERB_VERB	11	4	plur	advises	wrong	generated	The innovative defensive folks that politely would reduce from boy	2	False	265	7	10	The innovative defensive folks that politely would reduce from boy affirm darkness , statue , criticism , cent , subtle tuna and satisfied sorts of chicken and ships -- faithful as the Khan thread . <eos>	-14.7362
R__VERB_NOUN_CCONJ_VERB	11	1	sing	leads	correct	generated	This tool of page happens around the device s lamp and reasons and	0	False	3319	9	13	This tool of page happens around the device s lamp and reasons and serves a message for the thread outdoors on the funeral of the friendship in city of wine secretaries . <eos>	-8.64348
R__VERB_NOUN_CCONJ_VERB	11	1	sing	lead	wrong	generated	This tool of page happens around the device s lamp and reasons and	0	False	12758	9	13	This tool of page happens around the device s lamp and reasons and serves a message for the thread outdoors on the funeral of the friendship in city of wine secretaries . <eos>	-8.91286
R__VERB_NOUN_CCONJ_VERB	2	4	plur	remember	correct	generated	Hands usually : VC six through Ocean sixteen ( establishing you believe on the section we pale and	0	True	1102	7	18	Hands usually : VC six through Ocean sixteen ( establishing you believe on the section we pale and suggest probably to clerk the motor after we tell ) <eos>	-6.98469
R__VERB_NOUN_CCONJ_VERB	2	4	plur	remembers	wrong	generated	Hands usually : VC six through Ocean sixteen ( establishing you believe on the section we pale and	0	True	289	7	18	Hands usually : VC six through Ocean sixteen ( establishing you believe on the section we pale and suggest probably to clerk the motor after we tell ) <eos>	-13.6718
L__NOUN_VERB_VERB	16	0	sing	is	correct	original	The best thing you can do in Okinawa	0	False	649202	6	8	The best thing you can do in Okinawa is to go to a beach . <eos>	-0.41023
L__NOUN_VERB_VERB	16	0	sing	are	wrong	original	The best thing you can do in Okinawa	0	False	261453	6	8	The best thing you can do in Okinawa is to go to a beach . <eos>	-4.04513
L__NOUN_VERB_VERB	4	4	sing	asks	correct	generated	My deterioration with asking the sticker mainly	0	False	1751	6	7	My deterioration with asking the sticker mainly enjoys , could it be ignored that nicely everyone phoned the bond would or could achieve at any commander , since we probably followed Bechtel and Communists and if they pounded they might have deployed a minded towing ?? <eos>	-9.33518
L__NOUN_VERB_VERB	4	4	sing	ask	wrong	generated	My deterioration with asking the sticker mainly	0	False	1771	6	7	My deterioration with asking the sticker mainly enjoys , could it be ignored that nicely everyone phoned the bond would or could achieve at any commander , since we probably followed Bechtel and Communists and if they pounded they might have deployed a minded towing ?? <eos>	-12.9524
L__NOUN_VERB_VERB	5	9	sing	applies	correct	generated	Extremely , the accurate age headed for absorption	0	True	1246	4	8	Extremely , the accurate age headed for absorption enjoys whether our EPC ( the unknown ammonia and happily the etiquette they suggest to remove ) is or intends not an elite bond under the reminder . <eos>	-13.8827
L__NOUN_VERB_VERB	5	9	sing	apply	wrong	generated	Extremely , the accurate age headed for absorption	0	True	2730	4	8	Extremely , the accurate age headed for absorption enjoys whether our EPC ( the unknown ammonia and happily the etiquette they suggest to remove ) is or intends not an elite bond under the reminder . <eos>	-13.5535
L__NOUN_VERB_VERB	16	7	sing	adds	correct	generated	The strongest backup you can see in Earth	0	False	932	6	8	The strongest backup you can see in Earth indicates to decide to a quantity . <eos>	-11.1087
L__NOUN_VERB_VERB	16	7	sing	add	wrong	generated	The strongest backup you can see in Earth	0	False	2283	6	8	The strongest backup you can see in Earth indicates to decide to a quantity . <eos>	-12.5855
L__NOUN_VERB_VERB	23	9	sing	serves	correct	generated	Well , unless immensely categorically the third relationship he towed in the trap	0	True	4701	6	13	Well , unless immensely categorically the third relationship he towed in the trap comes out . <eos>	-11.2753
L__NOUN_VERB_VERB	23	9	sing	serve	wrong	generated	Well , unless immensely categorically the third relationship he towed in the trap	0	True	7238	6	13	Well , unless immensely categorically the third relationship he towed in the trap comes out . <eos>	-12.8448
L__NOUN_VERB_VERB	8	3	sing	delivers	correct	generated	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her	0	True	332	4	23	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her deserves already . <eos>	-14.7023
L__NOUN_VERB_VERB	8	3	sing	deliver	wrong	generated	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her	0	True	1395	4	23	Instead expect your victims to prepare this accidentally to their fields , and quickly aggressively , so that the panic to compel her deserves already . <eos>	-11.7371
L__NOUN_VERB_VERB	20	8	sing	attacks	correct	generated	The unhappy terrorism I lacked exceptionally from them in the first lady	0	False	5512	10	12	The unhappy terrorism I lacked exceptionally from them in the first lady applies because my secretive craft who admitted with them was suggesting out on his odd . <eos>	-11.9266
L__NOUN_VERB_VERB	20	8	sing	attack	wrong	generated	The unhappy terrorism I lacked exceptionally from them in the first lady	0	False	11547	10	12	The unhappy terrorism I lacked exceptionally from them in the first lady applies because my secretive craft who admitted with them was suggesting out on his odd . <eos>	-11.0187
L__NOUN_VERB_VERB	20	3	sing	enjoys	correct	generated	The uneven trip I moved indefinitely from them in the first budget	0	False	556	10	12	The uneven trip I moved indefinitely from them in the first budget includes because my fascinating fence who introduced with them was paying out on his apparent . <eos>	-16.4374
L__NOUN_VERB_VERB	20	3	sing	enjoy	wrong	generated	The uneven trip I moved indefinitely from them in the first budget	0	False	1428	10	12	The uneven trip I moved indefinitely from them in the first budget includes because my fascinating fence who introduced with them was paying out on his apparent . <eos>	-15.4115
L__NOUN_VERB_VERB	19	8	plur	enjoy	correct	generated	the obvious goods we suggest in our flower	1	False	1428	6	8	the obvious goods we suggest in our flower understand ; we pose theme thyroid for easter , gambling wife and statue - rat for Road . <eos>	-10.3871
L__NOUN_VERB_VERB	19	8	plur	enjoys	wrong	generated	the obvious goods we suggest in our flower	1	False	556	6	8	the obvious goods we suggest in our flower understand ; we pose theme thyroid for easter , gambling wife and statue - rat for Road . <eos>	-13.0037
R__VERB_NOUN_CCONJ_VERB	11	3	sing	covers	correct	generated	This tip of tag happens around the prosecution s sake and colleagues and	0	False	3270	9	13	This tip of tag happens around the prosecution s sake and colleagues and begins a teacher for the traffic aggressively on the pipeline of the poisoning in funeral of murderer hamsters . <eos>	-9.21922
R__VERB_NOUN_CCONJ_VERB	11	3	sing	cover	wrong	generated	This tip of tag happens around the prosecution s sake and colleagues and	0	False	8078	9	13	This tip of tag happens around the prosecution s sake and colleagues and begins a teacher for the traffic aggressively on the pipeline of the poisoning in funeral of murderer hamsters . <eos>	-10.2765
L__NOUN_VERB_VERB	10	0	sing	is	correct	original	The main reason I wrote this post	0	False	649202	5	7	The main reason I wrote this post is to ask anyone reading this if they know of some way I can help put a stop to this Cat Holocaust . <eos>	-1.72326
L__NOUN_VERB_VERB	10	0	sing	are	wrong	original	The main reason I wrote this post	0	False	261453	5	7	The main reason I wrote this post is to ask anyone reading this if they know of some way I can help put a stop to this Cat Holocaust . <eos>	-7.4676
R__VERB_NOUN_CCONJ_VERB	7	5	sing	feeds	correct	generated	As you lose above the chance , the distance of the competitive tractor sees your trafficking and	0	True	564	4	17	As you lose above the chance , the distance of the competitive tractor sees your trafficking and loves you reopen lighter and taller . <eos>	-8.90735
R__VERB_NOUN_CCONJ_VERB	7	5	sing	feed	wrong	generated	As you lose above the chance , the distance of the competitive tractor sees your trafficking and	0	True	2199	4	17	As you lose above the chance , the distance of the competitive tractor sees your trafficking and loves you reopen lighter and taller . <eos>	-8.66998
R__VERB_NOUN_CCONJ_VERB	13	0	plur	use	correct	original	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and	0	True	47118	7	26	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils to cook . <eos>	-5.62887
R__VERB_NOUN_CCONJ_VERB	13	0	plur	uses	wrong	original	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and	0	True	7477	7	26	They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils to cook . <eos>	-9.89446
R__VERB_NOUN_CCONJ_VERB	2	0	plur	go	correct	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	11429	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>	-3.44719
R__VERB_NOUN_CCONJ_VERB	2	0	plur	goes	wrong	original	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and	0	True	4325	7	18	Days away : Sept. 21 through Oct. 3 ( assuming you work on the day we leave and go back to work the day after we return ) <eos>	-7.20281
R__VERB_NOUN_CCONJ_VERB	4	2	plur	throw	correct	generated	Keep me hear if you hear any bombings or	0	False	1224	4	9	Keep me hear if you hear any bombings or pay anything educated . <eos>	-10.5101
R__VERB_NOUN_CCONJ_VERB	4	2	plur	throws	wrong	generated	Keep me hear if you hear any bombings or	0	False	600	4	9	Keep me hear if you hear any bombings or pay anything educated . <eos>	-9.93572
R__VERB_NOUN_CCONJ_VERB	15	0	sing	says	correct	original	If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and	0	True	5308	6	37	If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one for you . <eos>	-7.26253
R__VERB_NOUN_CCONJ_VERB	15	0	sing	say	wrong	original	If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and	0	True	5618	6	37	If you want a doctor who will lie to you and say he will operate and then change his mind , and not know what he is talking about when he recommends procedures at other hospitals and says they are what you need , when they will not work for you , go to this doctor ... he is the one for you . <eos>	-8.08659
R__VERB_NOUN_CCONJ_VERB	8	2	sing	finds	correct	generated	It wants the shuttle for honesty insurance and	0	False	3408	7	8	It wants the shuttle for honesty insurance and reads , “ We are raised that the Circle should not attract with fiscal - jaw worms who see to predict and generate repeatedly and usually in the soldiers , specials , and tires of fascinating transition . ” <eos>	-7.59393
R__VERB_NOUN_CCONJ_VERB	8	2	sing	find	wrong	generated	It wants the shuttle for honesty insurance and	0	False	10202	7	8	It wants the shuttle for honesty insurance and reads , “ We are raised that the Circle should not attract with fiscal - jaw worms who see to predict and generate repeatedly and usually in the soldiers , specials , and tires of fascinating transition . ” <eos>	-8.50833
L__NOUN_VERB_VERB	6	5	plur	enjoy	correct	generated	I continue the sanctions on which I should warn your preference	1	False	1428	8	11	I continue the sanctions on which I should warn your preference oppose : ( a ) Do you sail a surgical height about the meat to weak management rights pushed by Alito Inc ? <eos>	-15.5431
L__NOUN_VERB_VERB	6	5	plur	enjoys	wrong	generated	I continue the sanctions on which I should warn your preference	1	False	556	8	11	I continue the sanctions on which I should warn your preference oppose : ( a ) Do you sail a surgical height about the meat to weak management rights pushed by Alito Inc ? <eos>	-16.7841
L__NOUN_VERB_VERB	5	6	sing	eats	correct	generated	Again , the optimistic adjustment desired for option	0	True	232	4	8	Again , the optimistic adjustment desired for option enables whether our Administrator ( the advanced assault and typically the attorney they refuse to cook ) is or applies not an unknown retail under the grease . <eos>	-16.0838
L__NOUN_VERB_VERB	5	6	sing	eat	wrong	generated	Again , the optimistic adjustment desired for option	0	True	1652	4	8	Again , the optimistic adjustment desired for option enables whether our Administrator ( the advanced assault and typically the attorney they refuse to cook ) is or applies not an unknown retail under the grease . <eos>	-14.1395
L__NOUN_VERB_VERB	2	7	plur	love	correct	generated	<unk> I do n't thank to the coordination that the waters we describe or become to	1	False	7699	6	16	Whie I do n't thank to the coordination that the waters we describe or become to meet no attitude on our probability ( which I tend is mutually popular ) , it does hear me whenever requirements make out a successful chair of constraints to tighten the river on . <eos>	-8.7545
L__NOUN_VERB_VERB	2	7	plur	loves	wrong	generated	<unk> I do n't thank to the coordination that the waters we describe or become to	1	False	648	6	16	Whie I do n't thank to the coordination that the waters we describe or become to meet no attitude on our probability ( which I tend is mutually popular ) , it does hear me whenever requirements make out a successful chair of constraints to tighten the river on . <eos>	-14.694
L__NOUN_VERB_VERB	6	6	plur	address	correct	generated	I tend the corporations on which I should grow your ventilator	1	False	3744	8	11	I tend the corporations on which I should grow your ventilator apologize : ( a ) Do you bless a severe title about the tow to spectacular stream songs referenced by Opera Academy ? <eos>	-13.047
L__NOUN_VERB_VERB	6	6	plur	addresses	wrong	generated	I tend the corporations on which I should grow your ventilator	1	False	938	8	11	I tend the corporations on which I should grow your ventilator apologize : ( a ) Do you bless a severe title about the tow to spectacular stream songs referenced by Opera Academy ? <eos>	-14.5661
L__NOUN_VERB_VERB	12	5	plur	indicate	correct	generated	Amazing duties that perhaps would sail	1	False	2836	5	6	Amazing duties that perhaps would sail intend ft , disability , Darla soda and some rebels of stairs . <eos>	-11.1141
L__NOUN_VERB_VERB	12	5	plur	indicates	wrong	generated	Amazing duties that perhaps would sail	1	False	1984	5	6	Amazing duties that perhaps would sail intend ft , disability , Darla soda and some rebels of stairs . <eos>	-13.592
L__NOUN_VERB_VERB	20	7	sing	agrees	correct	generated	The unacceptable heaven I survived ago from them in the first pigeon	0	False	934	10	12	The unacceptable heaven I survived ago from them in the first pigeon indicates because my latter picketing who announced with them was following out on his upper . <eos>	-12.7351
L__NOUN_VERB_VERB	20	7	sing	agree	wrong	generated	The unacceptable heaven I survived ago from them in the first pigeon	0	False	1854	10	12	The unacceptable heaven I survived ago from them in the first pigeon indicates because my latter picketing who announced with them was following out on his upper . <eos>	-14.708
