pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
L__NOUN_VERB_VERB	7	0	sing	point	wrong	original	Can you accept that the road we are travelling	0	False	19649	4	9	Can you accept that the road we are travelling points toward a grim and painful future ? <eos>	-11.5125	-11.3866	-11.8083	-12.2136	-12.3358	-13.0743	-11.6154	-11.6648	-14.1364	-13.3949	-13.9191	-11.1408	-13.0896	-12.0218	-11.5427	-10.6914	-14.3301	-15.4767	-13.3197	-12.3505	-12.7563	-13.2508	-14.826	-15.1146	-15.6771	-10.9738	-10.9599	-14.2115	-13.9103	-12.982	-11.5565	-12.8778	-13.2627	-12.8836	-11.7871	-11.6438
R__VERB_NOUN_CCONJ_VERB	12	7	sing	reports	correct	generated	Beware for a teacher of facilities in their frame that provides from the poverty and	0	False	4617	5	15	Beware for a teacher of facilities in their frame that provides from the poverty and looks reasonably to the country fo the weapon . <eos>	-11.371	-12.7052	-11.9473	-11.4468	-11.0198	-10.8635	-11.5592	-12.8338	-12.9083	-11.7109	-12.8599	-14.3362	-12.3982	-13.1587	-11.746	-11.6889	-12.1785	-9.31381	-11.7356	-11.0479	-12.376	-10.1443	-10.6207	-13.2537	-14.2896	-13.6128	-9.95523	-15.3726	-11.8833	-12.9892	-11.5825	-12.1084	-12.8238	-12.135	-11.169	-12.2622
R__VERB_NOUN_CCONJ_VERB	12	7	sing	report	wrong	generated	Beware for a teacher of facilities in their frame that provides from the poverty and	0	False	7585	5	15	Beware for a teacher of facilities in their frame that provides from the poverty and looks reasonably to the country fo the weapon . <eos>	-9.79522	-11.1901	-9.64814	-10.7763	-10.1336	-12.431	-10.8311	-12.03	-12.8541	-11.8023	-11.5105	-13.0743	-11.9134	-11.975	-10.0271	-11.4014	-10.7114	-10.6227	-11.0962	-10.6551	-10.1118	-10.0976	-11.8383	-11.5581	-12.0987	-12.7279	-10.2811	-11.7455	-10.0163	-15.4385	-11.5834	-11.7829	-9.89579	-12.0973	-10.1204	-12.5633
L__NOUN_VERB_VERB	11	7	plur	apply	correct	generated	The actual friendly lyrics that somewhat would preserve from wall	2	False	2730	7	10	The actual friendly lyrics that somewhat would preserve from wall allow testimony , password , personality , climber , small floor and tragic coupons of creatures and fry -- wounded as the Phoenix hitch . <eos>	-14.8073	-14.855	-14.1785	-15.1636	-16.6788	-15.835	-16.0037	-17.4385	-12.7388	-14.8958	-14.483	-18.7444	-13.0171	-14.6346	-14.2367	-15.2027	-17.1207	-18.8317	-15.0764	-14.3017	-14.9783	-16.3125	-17.2947	-17.5974	-16.6478	-16.1826	-14.6097	-16.7912	-13.9414	-16.6054	-12.115	-14.7029	-15.1587	-13.4107	-14.7353	-15.2581
L__NOUN_VERB_VERB	11	7	plur	applies	wrong	generated	The actual friendly lyrics that somewhat would preserve from wall	2	False	1246	7	10	The actual friendly lyrics that somewhat would preserve from wall allow testimony , password , personality , climber , small floor and tragic coupons of creatures and fry -- wounded as the Phoenix hitch . <eos>	-16.963	-15.2742	-15.1402	-16.146	-19.6963	-15.1797	-15.7992	-16.3597	-13.9475	-13.8972	-16.4018	-17.276	-13.7912	-15.8969	-15.7671	-14.524	-17.877	-17.1547	-16.2851	-17.1392	-16.5555	-16.4062	-18.5778	-16.5479	-16.8689	-16.3621	-15.2196	-17.532	-15.8014	-15.5144	-14.2202	-14.0483	-14.7105	-14.6955	-16.1644	-15.2102
R__VERB_NOUN_CCONJ_VERB	2	5	plur	pass	correct	generated	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and	0	True	5087	7	18	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and provide vigorously to northeast the background after we describe ) <eos>	-9.04225	-6.14368	-7.66039	-8.54679	-7.53747	-7.85055	-7.81914	-7.82343	-8.62757	-8.13431	-8.58792	-7.31195	-8.36894	-6.70982	-8.19952	-7.1049	-7.24932	-8.80338	-7.81394	-7.54247	-8.11108	-7.31165	-8.43571	-8.5928	-8.17248	-6.87	-5.82531	-8.29152	-7.30047	-7.9816	-6.98699	-8.59219	-7.79313	-8.36992	-8.08398	-7.53315
R__VERB_NOUN_CCONJ_VERB	2	5	plur	passes	wrong	generated	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and	0	True	3400	7	18	Groups aggressively : Nancy sixteen through UK thousand ( accepting you condemn on the sample we suffer and provide vigorously to northeast the background after we describe ) <eos>	-8.70204	-9.22882	-10.7153	-8.13747	-10.8977	-9.32963	-9.93841	-9.55533	-9.20894	-10.1495	-9.25586	-12.5652	-9.64625	-9.02616	-8.92604	-9.57115	-9.47091	-10.6415	-10.2065	-11.7463	-11.037	-10.465	-11.2252	-10.5671	-10.8272	-11.0361	-8.67853	-10.3514	-9.22996	-8.66566	-8.87985	-10.4733	-10.5052	-9.11967	-8.60216	-9.6596
L__NOUN_VERB_VERB	0	4	sing	affirms	correct	generated	The conclusion to want in rock	0	False	80	5	6	The conclusion to want in rock owes that Spanish Afghan symptoms and Wars and wholesale Bangladeshi flakes are silent to settle soon jointly friendly to the Alexandria in Antonio than al - Peggy orders , and it would be ridiculous to grab one 's advisors off the frightening spin . <eos>	-15.4817	-16.343	-14.9135	-14.6403	-17.9094	-16.5265	-14.9576	-16.6771	-15.6625	-15.5568	-16.6734	-16.6665	-15.5699	-14.1202	-14.7522	-16.3465	-18.0293	-17.3801	-16.2615	-17.9561	-16.0648	-15.9275	-15.4729	-18.3411	-16.482	-18.3181	-15.0874	-14.6274	-15.3782	-17.0473	-15.9613	-15.8216	-14.9369	-15.9094	-14.3482	-16.8454
L__NOUN_VERB_VERB	0	4	sing	affirm	wrong	generated	The conclusion to want in rock	0	False	127	5	6	The conclusion to want in rock owes that Spanish Afghan symptoms and Wars and wholesale Bangladeshi flakes are silent to settle soon jointly friendly to the Alexandria in Antonio than al - Peggy orders , and it would be ridiculous to grab one 's advisors off the frightening spin . <eos>	-16.8983	-16.3933	-15.4396	-16.2098	-19.8295	-16.4127	-16.2255	-19.2515	-16.4765	-16.0604	-17.2713	-17.8328	-16.4421	-15.7497	-16.5136	-17.3439	-17.2111	-17.7097	-16.6492	-17.9401	-16.5515	-14.9769	-17.316	-18.7997	-17.8154	-16.1306	-15.0989	-15.0041	-15.751	-15.9424	-15.8238	-16.1086	-15.4763	-16.0775	-14.8021	-17.2874
R__VERB_NOUN_CCONJ_VERB	7	7	sing	calls	correct	generated	As you make above the conscience , the trend of the controversial drug plays your cave and	0	True	3880	4	17	As you make above the conscience , the trend of the controversial drug plays your cave and supports you reduce safer and larger . <eos>	-9.40646	-8.25567	-9.43669	-8.3139	-7.69823	-10.0245	-9.20812	-7.36019	-9.14588	-9.04962	-9.05731	-9.73167	-8.8216	-10.0631	-8.26407	-8.359	-8.55428	-7.72554	-10.1029	-8.9628	-10.2111	-6.77722	-8.35433	-9.09497	-8.42865	-8.90856	-9.20033	-10.2973	-8.51196	-8.69678	-8.08844	-7.9156	-9.26536	-8.73662	-8.33683	-7.31946
R__VERB_NOUN_CCONJ_VERB	7	7	sing	call	wrong	generated	As you make above the conscience , the trend of the controversial drug plays your cave and	0	True	6344	4	17	As you make above the conscience , the trend of the controversial drug plays your cave and supports you reduce safer and larger . <eos>	-7.84127	-6.28486	-8.02372	-6.76449	-8.15206	-8.07867	-7.37648	-6.58849	-8.04692	-8.29194	-7.36187	-7.96524	-8.38762	-7.23945	-6.98188	-7.01286	-8.19287	-8.62603	-7.76313	-9.13775	-8.41685	-5.59107	-8.32163	-7.50241	-6.80693	-7.05871	-9.41178	-8.61468	-7.22045	-6.97304	-8.0815	-7.80298	-8.73734	-8.34756	-6.69424	-6.35731
L__NOUN_VERB_VERB	18	9	sing	uses	correct	generated	The electrostatic brave laptop I have fallen	0	False	7477	4	7	The electrostatic brave laptop I have fallen indicates that in the gender of Elena eight dirt of the juice is extremely filled in the traffic the hospitality before the gate , this context joined after the beautiful variety . <eos>	-13.6578	-15.1061	-14.9723	-15.1261	-14.926	-12.4559	-14.6624	-16.3416	-12.5224	-13.0865	-13.2924	-14.8582	-12.0317	-14.5893	-13.5702	-15.4719	-14.3675	-14.5604	-14.9816	-13.4639	-13.4429	-11.642	-13.4996	-13.3895	-15.5883	-12.9422	-13.1037	-16.1808	-12.118	-13.3847	-12.5161	-12.9409	-12.4838	-13.538	-13.2377	-13.4742
L__NOUN_VERB_VERB	18	9	sing	use	wrong	generated	The electrostatic brave laptop I have fallen	0	False	47118	4	7	The electrostatic brave laptop I have fallen indicates that in the gender of Elena eight dirt of the juice is extremely filled in the traffic the hospitality before the gate , this context joined after the beautiful variety . <eos>	-10.6309	-10.6265	-14.1504	-14.9092	-13.0946	-13.5849	-13.6699	-12.8173	-12.5664	-14.055	-9.48001	-13.9855	-11.8342	-13.6156	-11.9596	-12.1624	-12.9359	-12.0605	-12.7661	-11.8547	-12.8303	-10.7399	-13.382	-12.7989	-12.5984	-14.9728	-11.2673	-14.6999	-12.7322	-11.8211	-12.5587	-14.0334	-9.93908	-11.3151	-12.5517	-13.1757
L__NOUN_VERB_VERB	17	8	sing	allows	correct	generated	The strong web manners thank there	1	False	5948	4	6	The strong web manners thank there incorporates manipulate to the reef . <eos>	-13.0252	-10.889	-10.7095	-11.0251	-12.4529	-10.5383	-12.1672	-12.7481	-10.951	-10.1379	-13.4442	-12.4246	-10.618	-10.9242	-12.4466	-12.0952	-11.5629	-15.2098	-11.8123	-12.0353	-11.3039	-12.4977	-9.5785	-11.434	-12.7868	-9.34216	-8.74749	-12.1732	-11.6535	-12.5165	-9.40978	-10.0354	-10.9516	-10.8533	-13.3475	-11.641
L__NOUN_VERB_VERB	17	8	sing	allow	wrong	generated	The strong web manners thank there	1	False	8990	4	6	The strong web manners thank there incorporates manipulate to the reef . <eos>	-13.3023	-12.7686	-11.3729	-12.6115	-12.6872	-10.2874	-13.5341	-11.8483	-11.6031	-9.86146	-12.5693	-12.0338	-11.4424	-11.5783	-13.5986	-12.7173	-11.4353	-14.0945	-12.3496	-11.7852	-12.0872	-13.0997	-10.7802	-11.2095	-12.0344	-12.3943	-11.2495	-12.503	-11.128	-10.5783	-10.1877	-10.2832	-11.7688	-11.7607	-13.7372	-11.0272
L__NOUN_VERB_VERB	13	9	sing	appears	correct	generated	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass"	0	True	7012	5	37	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass appears why you 're grand onwards "" and caused females to the "" Forest Kerry "" schooling doing that "" recently he failed Current coupons to hear really considerable as a knife "" . <eos>"	-14.1807	-13.8847	-13.7584	-12.5713	-15.1747	-13.6503	-14.2032	-15.2426	-12.4785	-13.9891	-13.0573	-15.4846	-12.7511	-12.9192	-12.8662	-13.9731	-13.8453	-14.0064	-13.4244	-14.5545	-13.3507	-14.1645	-15.2452	-14.6713	-13.4729	-12.4219	-14.0458	-13.096	-12.4736	-13.635	-14.5237	-12.9304	-13.2129	-13.2415	-12.4686	-13.8826
L__NOUN_VERB_VERB	13	9	sing	appear	wrong	generated	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass"	0	True	7652	5	37	"Because of the nature that his practical buildup with Halliburton Arabic had combined him , he caught profits safe as : "" You can recover a reporter and a gambling , eight speaker you ca n't harass appears why you 're grand onwards "" and caused females to the "" Forest Kerry "" schooling doing that "" recently he failed Current coupons to hear really considerable as a knife "" . <eos>"	-14.1992	-14.47	-13.9972	-13.5031	-15.7454	-12.5387	-13.2474	-15.5836	-11.5482	-12.6046	-12.6696	-14.3586	-11.6567	-12.4926	-13.2629	-14.4161	-14.7019	-12.9267	-15.1219	-14.3948	-15.0957	-16.1827	-14.899	-14.7763	-12.2263	-13.2264	-15.0041	-13.0415	-12.6988	-14.3925	-14.5262	-12.1085	-14.3373	-12.3048	-13.2435	-13.3875
L__NOUN_VERB_VERB	19	5	plur	ensure	correct	generated	the adequate resolutions we choose in our box	1	False	3569	6	8	the adequate resolutions we choose in our box affirm ; we prefer programme lap for easter , store site and midst - destiny for Salt . <eos>	-12.837	-13.9881	-13.7583	-14.8467	-12.4272	-14.9747	-14.5064	-12.3367	-15.0311	-15.165	-11.8951	-15.076	-15.0485	-14.3151	-14.0776	-14.6954	-15.0862	-15.0184	-12.7186	-11.0395	-12.6436	-12.3501	-15.4061	-12.0062	-12.9361	-13.6868	-13.4278	-13.8034	-13.1547	-14.511	-14.6377	-14.9528	-15.2506	-15.596	-13.181	-12.8376
L__NOUN_VERB_VERB	19	5	plur	ensures	wrong	generated	the adequate resolutions we choose in our box	1	False	399	6	8	the adequate resolutions we choose in our box affirm ; we prefer programme lap for easter , store site and midst - destiny for Salt . <eos>	-13.5007	-13.3388	-13.2125	-13.08	-11.1944	-12.6818	-13.3173	-12.7506	-13.236	-12.9397	-13.6818	-14.7607	-14.2377	-14.4173	-13.1565	-12.3812	-12.7434	-11.8868	-13.3047	-11.8621	-12.0916	-11.8994	-12.3864	-12.5795	-12.194	-13.3998	-13.3055	-14.4441	-13.1535	-13.6203	-12.7174	-13.1586	-13.1153	-13.7768	-13.1858	-11.7484
R__VERB_NOUN_CCONJ_VERB	7	6	sing	leads	correct	generated	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and	0	True	3319	4	17	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and wakes you remain fewer and happier . <eos>	-8.44406	-8.98164	-9.13955	-9.67633	-8.83277	-8.92949	-8.87244	-10.3306	-9.27933	-8.98715	-9.03903	-8.9624	-9.04734	-9.35462	-9.81533	-8.34802	-8.83899	-10.5146	-8.52664	-9.0194	-7.58411	-7.80323	-8.73236	-9.12178	-12.918	-9.17193	-8.66172	-10.9066	-8.73477	-8.18885	-9.54564	-8.16597	-8.7236	-9.12135	-8.28118	-8.06246
R__VERB_NOUN_CCONJ_VERB	7	6	sing	lead	wrong	generated	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and	0	True	12758	4	17	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and wakes you remain fewer and happier . <eos>	-8.12181	-11.2741	-10.5452	-10.5803	-11.9617	-9.84253	-11.5423	-9.23528	-8.51357	-9.68206	-9.39938	-9.36655	-8.66614	-9.55977	-10.7765	-9.8876	-11.6053	-11.25	-11.3662	-10.2001	-8.74069	-8.70645	-12.0208	-12.0995	-10.4252	-10.3651	-10.2035	-9.47276	-9.49191	-8.40071	-10.6295	-9.62849	-9.10689	-8.5011	-9.79919	-11.665
L__NOUN_VERB_VERB	8	9	sing	remains	correct	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	9459	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-13.2811	-9.58616	-12.4227	-11.0337	-11.0111	-8.43394	-10.7466	-9.06017	-8.7032	-8.65275	-7.72863	-10.6936	-8.63986	-10.1532	-12.9456	-11.1956	-12.8452	-10.1432	-11.182	-9.14048	-12.6197	-9.20232	-10.5365	-10.8907	-12.687	-10.7619	-10.962	-14.4057	-10.5399	-11.1922	-11.7933	-8.22939	-9.61229	-8.07663	-9.20071	-9.27137
L__NOUN_VERB_VERB	8	9	sing	remain	wrong	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	6999	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-15.6098	-13.521	-13.0766	-14.0573	-14.7343	-11.9556	-13.4349	-15.0715	-11.1384	-11.8628	-13.7196	-15.6158	-11.17	-14.921	-16.511	-13.96	-16.2785	-14.2183	-15.1673	-13.5613	-13.6802	-14.4983	-17.3176	-15.8217	-14.9033	-14.0684	-12.4665	-15.3012	-13.6596	-15.4535	-13.9082	-11.5155	-11.4033	-10.3788	-12.4637	-12.9644
L__NOUN_VERB_VERB	23	4	sing	responds	correct	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	375	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-14.0593	-14.7232	-15.0809	-14.2771	-17.2077	-15.9031	-15.0772	-16.491	-14.8367	-16.261	-16.1787	-14.0115	-14.155	-15.8308	-13.8741	-15.053	-16.7366	-16.0405	-16.3308	-16.9098	-15.0752	-17.1644	-17.6415	-16.6483	-15.6852	-17.609	-14.3801	-17.5277	-15.8147	-15.972	-15.5533	-15.5952	-15.432	-14.9983	-14.5767	-17.2897
L__NOUN_VERB_VERB	23	4	sing	respond	wrong	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	1271	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-15.0293	-14.9986	-15.7665	-14.2642	-17.9286	-16.8328	-15.7972	-15.8682	-15.3814	-17.0132	-15.3884	-13.8888	-15.0257	-14.8893	-15.3807	-16.1513	-16.96	-14.2063	-16.5431	-16.7515	-17.4084	-16.7138	-16.2751	-16.5619	-14.3323	-14.0782	-16.2274	-16.6566	-15.8743	-14.5264	-15.6566	-15.8882	-14.8684	-15.781	-14.9846	-16.6408
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sink	correct	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	580	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-7.33873	-7.86061	-6.61254	-8.96152	-9.85494	-8.68531	-9.15638	-10.4696	-8.30233	-9.16357	-8.70948	-9.00775	-8.6963	-8.65417	-9.32721	-8.51885	-8.94398	-9.03314	-8.39629	-8.62907	-10.5792	-7.63501	-9.586	-7.23651	-7.43025	-8.33836	-7.61702	-8.78184	-8.32876	-10.3373	-8.68485	-8.7251	-8.34542	-8.54379	-7.46836	-10.4483
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sinks	wrong	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	178	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-9.11078	-9.94177	-10.0463	-11.0855	-13.3131	-10.0353	-11.5618	-11.3741	-10.2712	-10.5095	-8.53612	-8.99796	-10.3373	-10.1363	-11.3301	-10.4038	-8.08581	-12.5206	-10.9054	-12.1089	-11.0134	-8.47854	-10.7219	-7.5415	-8.78449	-10.653	-10.7009	-10.2426	-9.97749	-11.5051	-10.7468	-10.2421	-9.44225	-10.1174	-9.87217	-11.0263
R__VERB_NOUN_CCONJ_VERB	4	7	plur	deserve	correct	generated	Stay me censor if you meet any submarines or	0	False	208	4	9	Stay me censor if you meet any submarines or dislike anything accurate . <eos>	-12.8193	-12.0954	-11.4688	-12.6648	-12.083	-11.4955	-12.3302	-14.4147	-11.0215	-11.0746	-12.1528	-10.637	-11.1049	-11.3618	-12.2647	-12.0218	-13.5032	-13.5044	-12.8768	-13.4011	-15.7951	-11.2029	-14.9498	-13.4697	-14.0713	-12.3216	-10.9302	-13.0675	-11.4043	-13.6857	-11.2541	-11.0162	-12.4151	-12.027	-12.2877	-13.0556
R__VERB_NOUN_CCONJ_VERB	4	7	plur	deserves	wrong	generated	Stay me censor if you meet any submarines or	0	False	198	4	9	Stay me censor if you meet any submarines or dislike anything accurate . <eos>	-13.8686	-13.1518	-13.337	-12.9828	-13.7747	-11.3471	-13.6838	-15.8195	-11.2753	-11.509	-12.3853	-15.7529	-11.2001	-12.6356	-13.5204	-13.0743	-14.7984	-15.9548	-12.9478	-14.9483	-16.2162	-14.1544	-16.2553	-14.9124	-16.4376	-12.7177	-12.3979	-15.7286	-12.2936	-12.3971	-13.0046	-11.1771	-13.0863	-11.9684	-12.9644	-16.1993
L__NOUN_VERB_VERB	14	8	sing	fits	correct	generated	A Thanksgiving mosque assured in Ray five	0	False	368	5	7	"A Thanksgiving mosque assured in Ray five feels , "" Due to its speech astride the Harris Lounge , Essex has precisely been a bridge to the Product . <eos>"	-11.9216	-13.5332	-13.431	-12.8771	-13.2849	-14.261	-15.8301	-13.8115	-14.9336	-13.9925	-15.8676	-11.2238	-15.4715	-13.6183	-12.7571	-14.8392	-15.8768	-15.5928	-12.0851	-15.5064	-12.8404	-14.5342	-12.7506	-13.2884	-13.3687	-16.0232	-13.4809	-11.7552	-15.2101	-14.9193	-13.2793	-14.3676	-13.2816	-15.0612	-13.8125	-14.7128
L__NOUN_VERB_VERB	14	8	sing	fit	wrong	generated	A Thanksgiving mosque assured in Ray five	0	False	2617	5	7	"A Thanksgiving mosque assured in Ray five feels , "" Due to its speech astride the Harris Lounge , Essex has precisely been a bridge to the Product . <eos>"	-11.0952	-12.6721	-12.6311	-12.5729	-12.1602	-13.9925	-14.3158	-12.628	-14.1025	-13.4136	-14.9606	-12.8022	-14.0584	-14.3413	-13.2881	-13.1546	-15.187	-13.828	-13.415	-13.4142	-14.1779	-14.129	-12.3723	-12.8242	-12.9285	-12.4104	-14.1802	-11.2921	-16.2817	-8.1124	-11.8238	-13.3239	-13.3061	-13.5466	-15.0648	-14.8855
R__VERB_NOUN_CCONJ_VERB	10	7	plur	deliver	correct	generated	You understand the television and	0	False	1395	4	5	You understand the television and tolerate corporation prosecution into the sentiment . <eos>	-7.6215	-10.0802	-9.11171	-12.0404	-8.78952	-10.8478	-9.30079	-7.32893	-11.3754	-9.91852	-10.0814	-13.2113	-10.8426	-9.35479	-11.109	-8.62384	-8.76471	-7.26914	-10.7796	-7.61436	-9.92009	-9.84913	-7.97653	-9.04724	-11.2627	-10.4011	-10.2179	-9.30849	-8.58447	-7.39626	-9.4136	-10.3931	-9.7575	-11.594	-10.36	-9.60902
R__VERB_NOUN_CCONJ_VERB	10	7	plur	delivers	wrong	generated	You understand the television and	0	False	332	4	5	You understand the television and tolerate corporation prosecution into the sentiment . <eos>	-9.37331	-10.6755	-10.9678	-11.9852	-9.3278	-11.73	-10.7814	-9.91027	-11.9464	-11.8054	-11.1996	-14.8792	-11.5655	-10.4624	-11.1853	-9.86541	-11.4653	-10.0909	-10.5537	-7.93514	-9.4465	-10.3822	-9.89479	-9.88429	-11.5605	-10.5292	-11.8878	-10.4833	-9.46213	-9.41393	-11.1379	-11.8148	-10.0809	-12.7025	-10.2079	-12.3067
L__NOUN_VERB_VERB	20	5	sing	admits	correct	generated	The impressionist treatment I took actually from them in the first clan	0	False	637	10	12	The impressionist treatment I took actually from them in the first clan agrees because my horrible patience who admitted with them was sending out on his unhappy . <eos>	-16.272	-15.433	-13.4629	-14.8895	-18.434	-14.4573	-14.7515	-15.1683	-13.7646	-14.1351	-16.7137	-15.8472	-13.1059	-14.8555	-13.7793	-13.3338	-15.9117	-18.2425	-17.357	-17.3293	-18.6828	-14.6708	-16.3597	-14.1295	-14.83	-14.0726	-14.1408	-13.2599	-14.8258	-14.4878	-14.3038	-14.2977	-14.7487	-14.1226	-14.4813	-17.4366
L__NOUN_VERB_VERB	20	5	sing	admit	wrong	generated	The impressionist treatment I took actually from them in the first clan	0	False	722	10	12	The impressionist treatment I took actually from them in the first clan agrees because my horrible patience who admitted with them was sending out on his unhappy . <eos>	-16.409	-14.4815	-13.8004	-15.3605	-14.9982	-14.3652	-13.769	-14.9187	-14.2381	-12.7822	-15.2068	-17.5519	-14.0023	-14.7142	-14.7545	-13.6746	-14.2563	-17.2985	-15.3374	-17.5246	-16.7245	-16.7201	-14.8445	-15.4857	-14.8034	-15.8789	-13.9794	-15.4368	-14.4413	-14.3035	-14.812	-13.6933	-14.3948	-15.0339	-13.8052	-17.0613
R__VERB_NOUN_CCONJ_VERB	10	8	plur	provide	correct	generated	You appreciate the strife and	0	False	12768	4	5	You appreciate the strife and seek wire billing into the trafficking . <eos>	-10.1905	-9.47579	-8.59026	-9.70244	-12.8305	-8.91364	-8.54751	-8.20395	-7.5458	-8.03136	-10.6938	-10.6544	-7.82348	-9.04516	-10.3552	-8.13536	-9.88067	-7.70139	-10.5472	-7.62454	-10.1469	-9.69349	-9.35054	-9.23224	-8.65375	-7.96633	-8.87228	-11.1645	-8.27173	-7.41038	-9.09596	-8.80532	-9.98872	-8.70792	-9.63698	-9.52721
R__VERB_NOUN_CCONJ_VERB	10	8	plur	provides	wrong	generated	You appreciate the strife and	0	False	7409	4	5	You appreciate the strife and seek wire billing into the trafficking . <eos>	-10.825	-10.7033	-10.8675	-11.474	-12.8732	-9.55746	-11.1535	-10.8837	-8.8194	-9.15848	-11.5715	-12.6594	-9.2119	-9.8127	-11.8707	-10.4497	-11.4105	-10.7352	-10.2644	-10.0336	-9.53805	-12.1911	-9.63298	-10.8001	-9.24001	-11.2722	-9.59427	-11.604	-10.2663	-11.1075	-10.189	-9.37778	-10.4179	-9.18876	-10.3742	-10.7012
L__NOUN_VERB_VERB	19	1	plur	assume	correct	generated	the arrogant laptops we pale in our hibernation	1	False	1201	6	8	the arrogant laptops we pale in our hibernation agree ; we meet journalist magnitude for easter , pregnancy culture and nausea - language for Manson . <eos>	-14.0318	-14.4427	-14.2979	-12.4992	-15.9119	-13.5432	-12.3349	-12.5015	-13.3723	-13.846	-11.6579	-14.3741	-13.085	-14.453	-15.017	-13.3933	-13.6228	-14.2148	-14.623	-14.8914	-14.389	-13.1363	-10.4678	-10.5949	-12.5741	-12.0306	-13.339	-13.7059	-14.1323	-13.6197	-13.3701	-13.5535	-13.3202	-13.3227	-12.9417	-12.0779
