pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
R__NOUN_DET_ADV_PUNCT_ADJ	15	6	sing	עוקפים	wrong	generated	ה וקמן ה בין -	0	True	46	4	5	ה וקמן ה בין - קפריסאי ביקר ב טקסים ה גרמניים כמה השמצות משכילות , ב ערכת להחזיק המשכים על בנים של לוינשטיין ו על תקליטנים ה יוצקים לו . <eos>
R__NOUN_NOUN_DET_ADJ	49	1	sing	נחוש	correct	generated	ה פלישת ה נאה של מליאת כוכב ה מיגון ה	0	False	363	4	10	ה פלישת ה נאה של מליאת כוכב ה מיגון ה שיטתי ל ילדת גודיק ב אליאן , המליצה להשוות על 5 ברוטו ברוטו מ רשימתו ה נוראה של ארבעת רחובותיה , בשל ה בסיס ה מחשיב את ציפוי ה טניסאית . <eos>
R__NOUN_NOUN_DET_ADJ	49	1	sing	נחושים	wrong	generated	ה פלישת ה נאה של מליאת כוכב ה מיגון ה	0	False	106	4	10	ה פלישת ה נאה של מליאת כוכב ה מיגון ה שיטתי ל ילדת גודיק ב אליאן , המליצה להשוות על 5 ברוטו ברוטו מ רשימתו ה נוראה של ארבעת רחובותיה , בשל ה בסיס ה מחשיב את ציפוי ה טניסאית . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	13	7	sing	מאוים	correct	generated	"עם תל""ג ב כינוס 32 מיליארד כישור ( 93 מיליארד קוראן על קורבן ה סלמון ה אקזוטי ) צועקת ה חזית ה חרוכה להציג שזיף של רוחב , ה"	0	True	127	5	29	"עם תל""ג ב כינוס 32 מיליארד כישור ( 93 מיליארד קוראן על קורבן ה סלמון ה אקזוטי ) צועקת ה חזית ה חרוכה להציג שזיף של רוחב , ה מוותר את הכרתו ה נשיאותית . <eos>"
R__NOUN_NOUN_PUNCT_SCONJ_VERB	13	7	sing	מאוימים	wrong	generated	"עם תל""ג ב כינוס 32 מיליארד כישור ( 93 מיליארד קוראן על קורבן ה סלמון ה אקזוטי ) צועקת ה חזית ה חרוכה להציג שזיף של רוחב , ה"	0	True	79	5	29	"עם תל""ג ב כינוס 32 מיליארד כישור ( 93 מיליארד קוראן על קורבן ה סלמון ה אקזוטי ) צועקת ה חזית ה חרוכה להציג שזיף של רוחב , ה מוותר את הכרתו ה נשיאותית . <eos>"
R__NOUN_NOUN_DET_ADJ	126	2	sing	רציני	correct	generated	ל מרכיביו ב הספק דומיננטי הוא היה בעד תכנון , אך נוכח ה אסטרונומיות ו נעלי ה פריימריס , ה מסיבה היא <unk> לסגור ל גידול ה גלגול ה	0	True	606	4	29	ל מרכיביו ב הספק דומיננטי הוא היה בעד תכנון , אך נוכח ה אסטרונומיות ו נעלי ה פריימריס , ה מסיבה היא שלא לסגור ל גידול ה גלגול ה שבור ל חלבונים . <eos>
R__NOUN_NOUN_DET_ADJ	126	2	sing	רציניים	wrong	generated	ל מרכיביו ב הספק דומיננטי הוא היה בעד תכנון , אך נוכח ה אסטרונומיות ו נעלי ה פריימריס , ה מסיבה היא <unk> לסגור ל גידול ה גלגול ה	0	True	232	4	29	ל מרכיביו ב הספק דומיננטי הוא היה בעד תכנון , אך נוכח ה אסטרונומיות ו נעלי ה פריימריס , ה מסיבה היא שלא לסגור ל גידול ה גלגול ה שבור ל חלבונים . <eos>
R__VERB_NOUN_CCONJ_VERB	2	7	sing	מתיישב	correct	generated	"פעם חמק לוטן ל ד""ר ארטיסטס אדלסון , ש הורכב אחריו במשך 71 קנוניה ב הברה משכורתם את ה אווי ה יבשתיות ב חמלה , כי ה מטרת ה תנ""כית ש ממנה הוא זורע בצקת היא פאפון ה תכנון ; כמותו הוא מתנפח ב מיקוש ו"	0	True	248	4	46	"פעם חמק לוטן ל ד""ר ארטיסטס אדלסון , ש הורכב אחריו במשך 71 קנוניה ב הברה משכורתם את ה אווי ה יבשתיות ב חמלה , כי ה מטרת ה תנ""כית ש ממנה הוא זורע בצקת היא פאפון ה תכנון ; כמותו הוא מתנפח ב מיקוש ו משתדל ב זפת . <eos>"
R__VERB_NOUN_CCONJ_VERB	2	7	sing	מתיישבים	wrong	generated	"פעם חמק לוטן ל ד""ר ארטיסטס אדלסון , ש הורכב אחריו במשך 71 קנוניה ב הברה משכורתם את ה אווי ה יבשתיות ב חמלה , כי ה מטרת ה תנ""כית ש ממנה הוא זורע בצקת היא פאפון ה תכנון ; כמותו הוא מתנפח ב מיקוש ו"	0	True	2626	4	46	"פעם חמק לוטן ל ד""ר ארטיסטס אדלסון , ש הורכב אחריו במשך 71 קנוניה ב הברה משכורתם את ה אווי ה יבשתיות ב חמלה , כי ה מטרת ה תנ""כית ש ממנה הוא זורע בצקת היא פאפון ה תכנון ; כמותו הוא מתנפח ב מיקוש ו משתדל ב זפת . <eos>"
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	5	3	sing	מקבלת	correct	generated	זהו קובוץ ה <unk> ב ירושלים - ליכטנשטיין - אריאל , ב צמרת ש בה ה התנתקות מוחלפת ב אמני אתלט , עור ו	0	True	1431	4	24	זהו קובוץ ה מילואה ב ירושלים - ליכטנשטיין - אריאל , ב צמרת ש בה ה התנתקות מוחלפת ב אמני אתלט , עור ו התערבות סלולרית . <eos>
R__NOUN_PUNCT_NOUN_CCONJ_NOUN	5	3	sing	מקבלות	wrong	generated	זהו קובוץ ה <unk> ב ירושלים - ליכטנשטיין - אריאל , ב צמרת ש בה ה התנתקות מוחלפת ב אמני אתלט , עור ו	0	True	414	4	24	זהו קובוץ ה מילואה ב ירושלים - ליכטנשטיין - אריאל , ב צמרת ש בה ה התנתקות מוחלפת ב אמני אתלט , עור ו התערבות סלולרית . <eos>
R__NOUN_ADJ_DET_ADJ	57	2	plur	אלטרנטיביות	correct	generated	שני ה מדינאים היוו כי ב ויסות יוכל גאריסון לשחק את ה אילוץ של ה ריאקציות ה שגויות ה	0	False	142	4	19	שני ה מדינאים היוו כי ב ויסות יוכל גאריסון לשחק את ה אילוץ של ה ריאקציות ה שגויות ה חסידיות , ש חישול אינו שוחק בהן עכשיו . <eos>
R__NOUN_ADJ_DET_ADJ	57	2	plur	אלטרנטיבית	wrong	generated	שני ה מדינאים היוו כי ב ויסות יוכל גאריסון לשחק את ה אילוץ של ה ריאקציות ה שגויות ה	0	False	516	4	19	שני ה מדינאים היוו כי ב ויסות יוכל גאריסון לשחק את ה אילוץ של ה ריאקציות ה שגויות ה חסידיות , ש חישול אינו שוחק בהן עכשיו . <eos>
R__NOUN_ADJ_DET_ADJ	69	0	sing	גדולה	correct	original	ב ינואר תקבל ל ידיה <unk> את ה אחריות ה מינהלית ה	0	False	23251	4	12	"ב ינואר תקבל ל ידיה ריצארדס את ה אחריות ה מינהלית ה גדולה ביותר ש נמסרה אי - פעם לידי אשה ב תולדות ארה""ב . <eos>"
R__NOUN_ADJ_DET_ADJ	69	0	sing	גדולות	wrong	original	ב ינואר תקבל ל ידיה <unk> את ה אחריות ה מינהלית ה	0	False	9078	4	12	"ב ינואר תקבל ל ידיה ריצארדס את ה אחריות ה מינהלית ה גדולה ביותר ש נמסרה אי - פעם לידי אשה ב תולדות ארה""ב . <eos>"
R__NOUN_NOUN_DET_ADJ	147	8	sing	עשבוני	correct	generated	( 2 ) בעיית ה חליצה שוב אינה פינוי ה הסטת ה	0	True	122	4	12	( 2 ) בעיית ה חליצה שוב אינה פינוי ה הסטת ה ישיר ה עביר . <eos>
R__NOUN_NOUN_DET_ADJ	147	8	sing	עשבוניים	wrong	generated	( 2 ) בעיית ה חליצה שוב אינה פינוי ה הסטת ה	0	True	127	4	12	( 2 ) בעיית ה חליצה שוב אינה פינוי ה הסטת ה ישיר ה עביר . <eos>
R__NOUN_NOUN_DET_ADJ	135	7	plur	נייטרליים	correct	generated	ב כך היו ל שלושה מבין כ <unk> ה בגדים ה גונבים את לוחמי ה מטריצה ה	1	False	96	4	17	ב כך היו ל שלושה מבין כ 1,008 ה בגדים ה גונבים את לוחמי ה מטריצה ה הגיוניים ב מנגיסטו ב פחית ה כשירות ה זכרית . <eos>
R__NOUN_NOUN_DET_ADJ	135	7	plur	נייטרלי	wrong	generated	ב כך היו ל שלושה מבין כ <unk> ה בגדים ה גונבים את לוחמי ה מטריצה ה	1	False	431	4	17	ב כך היו ל שלושה מבין כ 1,008 ה בגדים ה גונבים את לוחמי ה מטריצה ה הגיוניים ב מנגיסטו ב פחית ה כשירות ה זכרית . <eos>
R__VERB_NOUN_CCONJ_VERB	23	7	sing	נסגרת	correct	generated	פנייתו של קוסטנר מיניאפוליס בונדי מועלם 56 מתחים בלבד כ 10 ברוטו מ אירועי ה נייר אך	0	True	70	12	17	פנייתו של קוסטנר מיניאפוליס בונדי מועלם 56 מתחים בלבד כ 10 ברוטו מ אירועי ה נייר אך צורכת על שטיפת ה חופשה של וטנברג בארנבוים ו הצבת ה מומנט . <eos>
R__VERB_NOUN_CCONJ_VERB	23	7	sing	נסגרות	wrong	generated	פנייתו של קוסטנר מיניאפוליס בונדי מועלם 56 מתחים בלבד כ 10 ברוטו מ אירועי ה נייר אך	0	True	63	12	17	פנייתו של קוסטנר מיניאפוליס בונדי מועלם 56 מתחים בלבד כ 10 ברוטו מ אירועי ה נייר אך צורכת על שטיפת ה חופשה של וטנברג בארנבוים ו הצבת ה מומנט . <eos>
R__VERB_NOUN_CCONJ_VERB	2	2	sing	מפחד	correct	generated	"פעם התכנס אאטיוס ל ד""ר סלוניקי גודיק , ש ריפא אחריו במשך 71 אורוות ב אספקה נאמנותו את ה מומיות ה אתיופיות ב מתכת , כי ה קצינה ה תנ""כית ש ממנה הוא משוכנע כביסה היא ליז ה ניהול ; כמותו הוא דוקר ב מצוק ו"	0	True	306	4	46	"פעם התכנס אאטיוס ל ד""ר סלוניקי גודיק , ש ריפא אחריו במשך 71 אורוות ב אספקה נאמנותו את ה מומיות ה אתיופיות ב מתכת , כי ה קצינה ה תנ""כית ש ממנה הוא משוכנע כביסה היא ליז ה ניהול ; כמותו הוא דוקר ב מצוק ו מפושט ב וויגים . <eos>"
R__VERB_NOUN_CCONJ_VERB	2	2	sing	מפחדים	wrong	generated	"פעם התכנס אאטיוס ל ד""ר סלוניקי גודיק , ש ריפא אחריו במשך 71 אורוות ב אספקה נאמנותו את ה מומיות ה אתיופיות ב מתכת , כי ה קצינה ה תנ""כית ש ממנה הוא משוכנע כביסה היא ליז ה ניהול ; כמותו הוא דוקר ב מצוק ו"	0	True	79	4	46	"פעם התכנס אאטיוס ל ד""ר סלוניקי גודיק , ש ריפא אחריו במשך 71 אורוות ב אספקה נאמנותו את ה מומיות ה אתיופיות ב מתכת , כי ה קצינה ה תנ""כית ש ממנה הוא משוכנע כביסה היא ליז ה ניהול ; כמותו הוא דוקר ב מצוק ו מפושט ב וויגים . <eos>"
R__NOUN_ADJ_DET_ADJ	38	0	sing	כולל	correct	original	<unk> ראש ה עירייה אומר כי זה גירעון ב היקף קטן יחסית ל תקציב ה עירוני ה	0	False	25652	4	17	"מ""ם ראש ה עירייה אומר כי זה גירעון ב היקף קטן יחסית ל תקציב ה עירוני ה כולל , ו הוא תוצאה של ניהול כספי נבון ו פעולות ייעול ב מערכת ה עירונית . <eos>"
R__NOUN_ADJ_DET_ADJ	38	0	sing	ראשונים	wrong	original	<unk> ראש ה עירייה אומר כי זה גירעון ב היקף קטן יחסית ל תקציב ה עירוני ה	0	False	14965	4	17	"מ""ם ראש ה עירייה אומר כי זה גירעון ב היקף קטן יחסית ל תקציב ה עירוני ה כולל , ו הוא תוצאה של ניהול כספי נבון ו פעולות ייעול ב מערכת ה עירונית . <eos>"
R__NOUN_ADJ_DET_ADJ	27	6	sing	כלול	correct	generated	ל רשותה , משיגה ה סכמת ב שתי תביעות ספורות : האם ה סריג ה חצוי ה	0	True	369	4	17	ל רשותה , משיגה ה סכמת ב שתי תביעות ספורות : האם ה סריג ה חצוי ה מוחלש , מתחת ל שבועון 12 , מסוגל להתמקד אחרת מ כפי ש הוקדש מ הגדרתה ? <eos>
R__NOUN_ADJ_DET_ADJ	27	6	sing	כלולים	wrong	generated	ל רשותה , משיגה ה סכמת ב שתי תביעות ספורות : האם ה סריג ה חצוי ה	0	True	520	4	17	ל רשותה , משיגה ה סכמת ב שתי תביעות ספורות : האם ה סריג ה חצוי ה מוחלש , מתחת ל שבועון 12 , מסוגל להתמקד אחרת מ כפי ש הוקדש מ הגדרתה ? <eos>
R__NOUN_ADJ_DET_ADJ	24	6	plur	ננסיים	correct	generated	זמן ה סיום ל מספור דיפלומטי , אליין איוון , התארך שלשום ל פורטנוי ל כוהן ה סוסים ה קוצניים ה	0	True	77	4	21	זמן ה סיום ל מספור דיפלומטי , אליין איוון , התארך שלשום ל פורטנוי ל כוהן ה סוסים ה קוצניים ה רפובליקניים . <eos>
R__NOUN_ADJ_DET_ADJ	24	6	plur	ננסי	wrong	generated	זמן ה סיום ל מספור דיפלומטי , אליין איוון , התארך שלשום ל פורטנוי ל כוהן ה סוסים ה קוצניים ה	0	True	739	4	21	זמן ה סיום ל מספור דיפלומטי , אליין איוון , התארך שלשום ל פורטנוי ל כוהן ה סוסים ה קוצניים ה רפובליקניים . <eos>
R__NOUN_NOUN_DET_ADJ	146	2	sing	גמישה	correct	generated	מ אז <unk> פייס מצב מדע ה גינות ה טיפוליות על - תחנות קביעת ה נכר ה	0	True	269	4	17	מ אז 7791 פייס מצב מדע ה גינות ה טיפוליות על - תחנות קביעת ה נכר ה אליפטית , ה חניית ה נייד ביותר ב נערי אנימציה מוזיקליים . <eos>
R__NOUN_NOUN_DET_ADJ	146	2	sing	גמישות	wrong	generated	מ אז <unk> פייס מצב מדע ה גינות ה טיפוליות על - תחנות קביעת ה נכר ה	0	True	879	4	17	מ אז 7791 פייס מצב מדע ה גינות ה טיפוליות על - תחנות קביעת ה נכר ה אליפטית , ה חניית ה נייד ביותר ב נערי אנימציה מוזיקליים . <eos>
R__NOUN_NOUN_DET_ADJ	104	8	sing	מחודד	correct	generated	לפני כ משקפיים הצטייר מיסוד ה פסו ה	0	False	263	4	8	לפני כ משקפיים הצטייר מיסוד ה פסו ה כלכלי עת מעורבת , ש לפיה אם לוגו מוותר על לוח ה אילוצים ו נשנה מושבו אטיודים , יהיו סוהרים ש הוצע קודם ל כן מ רדיו ל תוככי צירוף ה ריצוי , למשל ב לגיטימציה ב סולת , מטבוליים כ בעיטה . <eos>
R__NOUN_NOUN_DET_ADJ	104	8	sing	מחודדים	wrong	generated	לפני כ משקפיים הצטייר מיסוד ה פסו ה	0	False	199	4	8	לפני כ משקפיים הצטייר מיסוד ה פסו ה כלכלי עת מעורבת , ש לפיה אם לוגו מוותר על לוח ה אילוצים ו נשנה מושבו אטיודים , יהיו סוהרים ש הוצע קודם ל כן מ רדיו ל תוככי צירוף ה ריצוי , למשל ב לגיטימציה ב סולת , מטבוליים כ בעיטה . <eos>
R__NOUN_NOUN_DET_ADJ	117	6	sing	נרחב	correct	generated	שעשועי משוכנעים מ ה לקוח ב מדליית ה ממציאי , בעיקר ל קולחוז ה פיזיולוגי , לנוכח כוונתו של הצלחת ה עילום להגיע את תיק ה שיקוי ל סעיף ה פרגמנטים ה	1	True	3621	4	32	שעשועי משוכנעים מ ה לקוח ב מדליית ה ממציאי , בעיקר ל קולחוז ה פיזיולוגי , לנוכח כוונתו של הצלחת ה עילום להגיע את תיק ה שיקוי ל סעיף ה פרגמנטים ה אמפירי ו ל תהליכי הסעת של קביעת בישולים . <eos>
R__NOUN_NOUN_DET_ADJ	117	6	sing	נרחבים	wrong	generated	שעשועי משוכנעים מ ה לקוח ב מדליית ה ממציאי , בעיקר ל קולחוז ה פיזיולוגי , לנוכח כוונתו של הצלחת ה עילום להגיע את תיק ה שיקוי ל סעיף ה פרגמנטים ה	1	True	1747	4	32	שעשועי משוכנעים מ ה לקוח ב מדליית ה ממציאי , בעיקר ל קולחוז ה פיזיולוגי , לנוכח כוונתו של הצלחת ה עילום להגיע את תיק ה שיקוי ל סעיף ה פרגמנטים ה אמפירי ו ל תהליכי הסעת של קביעת בישולים . <eos>
R__NOUN_NOUN_DET_ADJ	149	0	sing	לאומית	correct	original	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה	0	False	10536	4	14	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה לאומית . <eos>
R__NOUN_NOUN_DET_ADJ	149	0	sing	לאומיות	wrong	original	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה	0	False	2104	4	14	כהונת מושל ב מדינה גדולה היא קרש קפיצה אל מרכז תשומת ה לב ה לאומית . <eos>
R__NOUN_NOUN_DET_ADJ	42	5	plur	מאושרים	correct	generated	אחת ה תפילות ה פרובינקיות ה בוחרות את באיווה היא ה הכשרת ל כריש מ נציגי ה חיידק ה	1	False	342	4	19	אחת ה תפילות ה פרובינקיות ה בוחרות את באיווה היא ה הכשרת ל כריש מ נציגי ה חיידק ה ממונעים ה ניחנים אחר ה מתמוטט ב מרוז ו ב לימור . <eos>
R__NOUN_NOUN_DET_ADJ	42	5	plur	מאושר	wrong	generated	אחת ה תפילות ה פרובינקיות ה בוחרות את באיווה היא ה הכשרת ל כריש מ נציגי ה חיידק ה	1	False	388	4	19	אחת ה תפילות ה פרובינקיות ה בוחרות את באיווה היא ה הכשרת ל כריש מ נציגי ה חיידק ה ממונעים ה ניחנים אחר ה מתמוטט ב מרוז ו ב לימור . <eos>
R__VERB_NOUN_CCONJ_VERB	17	5	sing	מודאג	correct	generated	ה תושב ב פרוזבול חולני יותר , מאחר ש הוא מכחיש את ה אצטדיון ב מיתוג ו	0	True	157	7	17	ה תושב ב פרוזבול חולני יותר , מאחר ש הוא מכחיש את ה אצטדיון ב מיתוג ו נהפך הבדל דרוג ( ) ; כמו כן ה רעמה עשויה להיות שריון עדין . <eos>
R__VERB_NOUN_CCONJ_VERB	17	5	sing	מודאגים	wrong	generated	ה תושב ב פרוזבול חולני יותר , מאחר ש הוא מכחיש את ה אצטדיון ב מיתוג ו	0	True	100	7	17	ה תושב ב פרוזבול חולני יותר , מאחר ש הוא מכחיש את ה אצטדיון ב מיתוג ו נהפך הבדל דרוג ( ) ; כמו כן ה רעמה עשויה להיות שריון עדין . <eos>
R__NOUN_NOUN_DET_ADJ	31	5	plur	צנועות	correct	generated	"חוטים ב איחוי ניסן , ש שיכנעו כיצד ממריא אונגר אל קפלר , חלו מוס טרגי על כיסוי ה קיוסק , ש "" סיפק חומץ מ גופי ה קילומטר ה מפזרים ב חברות אריתמטיות ב משימות ה גוון ה"	1	True	64	4	39	"חוטים ב איחוי ניסן , ש שיכנעו כיצד ממריא אונגר אל קפלר , חלו מוס טרגי על כיסוי ה קיוסק , ש "" סיפק חומץ מ גופי ה קילומטר ה מפזרים ב חברות אריתמטיות ב משימות ה גוון ה מקסימליים ו ב ניכוי ה ריתוק "" כ ימינו . <eos>"
R__NOUN_NOUN_DET_ADJ	31	5	plur	צנועה	wrong	generated	"חוטים ב איחוי ניסן , ש שיכנעו כיצד ממריא אונגר אל קפלר , חלו מוס טרגי על כיסוי ה קיוסק , ש "" סיפק חומץ מ גופי ה קילומטר ה מפזרים ב חברות אריתמטיות ב משימות ה גוון ה"	1	True	282	4	39	"חוטים ב איחוי ניסן , ש שיכנעו כיצד ממריא אונגר אל קפלר , חלו מוס טרגי על כיסוי ה קיוסק , ש "" סיפק חומץ מ גופי ה קילומטר ה מפזרים ב חברות אריתמטיות ב משימות ה גוון ה מקסימליים ו ב ניכוי ה ריתוק "" כ ימינו . <eos>"
R__NOUN_DET_ADV_PUNCT_ADJ	16	8	sing	מחונן	correct	generated	ב עולם בריגדיר הוא ענה כי ה פיורד ה בין -	0	True	215	4	11	ב עולם בריגדיר הוא ענה כי ה פיורד ה בין - ממלכתי נשבה רעיונות על רגשותיו , ו זעזע כי מ הבקעה מרושעת אין ה קו יכול להפחית חלקיק זה . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	16	8	sing	מחוננים	wrong	generated	ב עולם בריגדיר הוא ענה כי ה פיורד ה בין -	0	True	271	4	11	ב עולם בריגדיר הוא ענה כי ה פיורד ה בין - ממלכתי נשבה רעיונות על רגשותיו , ו זעזע כי מ הבקעה מרושעת אין ה קו יכול להפחית חלקיק זה . <eos>
R__VERB_NOUN_PUNCT_CCONJ_VERB	1	7	sing	אופה	correct	generated	דץ קיארה ש שיפר להסתכן את שינוי ה קלפי התבטא ל עיבוי נצחי , אבל נרדם ה כרוב ש הוא ממית על - פני סנפירים ישראליים מדי , ו	0	True	222	9	29	דץ קיארה ש שיפר להסתכן את שינוי ה קלפי התבטא ל עיבוי נצחי , אבל נרדם ה כרוב ש הוא ממית על - פני סנפירים ישראליים מדי , ו נחרד ב סגניו ב מושבה קרובת . <eos>
R__VERB_NOUN_PUNCT_CCONJ_VERB	1	7	sing	אופים	wrong	generated	דץ קיארה ש שיפר להסתכן את שינוי ה קלפי התבטא ל עיבוי נצחי , אבל נרדם ה כרוב ש הוא ממית על - פני סנפירים ישראליים מדי , ו	0	True	107	9	29	דץ קיארה ש שיפר להסתכן את שינוי ה קלפי התבטא ל עיבוי נצחי , אבל נרדם ה כרוב ש הוא ממית על - פני סנפירים ישראליים מדי , ו נחרד ב סגניו ב מושבה קרובת . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	27	9	plur	מפתיעים	correct	generated	זה היה סיפוק הן ל היותו נשיא מעשים , ו הן ל מלכותו יוצאת ה סכין להילחם את ה מלכי ה לא -	0	True	76	4	23	זה היה סיפוק הן ל היותו נשיא מעשים , ו הן ל מלכותו יוצאת ה סכין להילחם את ה מלכי ה לא - חדשים ב גינון ה לא - טראומטי ו ב מנוס ה לא - דומיניקני . <eos>
R__NOUN_DET_ADV_PUNCT_ADJ	27	9	plur	מפתיע	wrong	generated	זה היה סיפוק הן ל היותו נשיא מעשים , ו הן ל מלכותו יוצאת ה סכין להילחם את ה מלכי ה לא -	0	True	745	4	23	זה היה סיפוק הן ל היותו נשיא מעשים , ו הן ל מלכותו יוצאת ה סכין להילחם את ה מלכי ה לא - חדשים ב גינון ה לא - טראומטי ו ב מנוס ה לא - דומיניקני . <eos>
R__NOUN_ADJ_DET_ADJ	63	8	sing	מחזורי	correct	generated	ערפל רוקפלר הודיע ש תחושת הקמת דוגרים מוכנה להסיר את ניקוב הראבן תשומת ל סמכות אם יתפרק להתחרות ב זוג ה קואליציוני ה	0	False	638	4	23	ערפל רוקפלר הודיע ש תחושת הקמת דוגרים מוכנה להסיר את ניקוב הראבן תשומת ל סמכות אם יתפרק להתחרות ב זוג ה קואליציוני ה אסלאמי . <eos>
R__NOUN_ADJ_DET_ADJ	63	8	sing	מחזוריים	wrong	generated	ערפל רוקפלר הודיע ש תחושת הקמת דוגרים מוכנה להסיר את ניקוב הראבן תשומת ל סמכות אם יתפרק להתחרות ב זוג ה קואליציוני ה	0	False	75	4	23	ערפל רוקפלר הודיע ש תחושת הקמת דוגרים מוכנה להסיר את ניקוב הראבן תשומת ל סמכות אם יתפרק להתחרות ב זוג ה קואליציוני ה אסלאמי . <eos>
R__NOUN_NOUN_DET_ADJ	48	0	plur	גדולים	correct	original	עם זאת , נמנעו חברות ה ביטוח מ לנקוט ב צעדים נגד ה סוכנות בגלל היקפי ביטוח חיים ה	1	True	14628	4	19	עם זאת , נמנעו חברות ה ביטוח מ לנקוט ב צעדים נגד ה סוכנות בגלל היקפי ביטוח חיים ה גדולים ש סוכנות זו מוכרת . <eos>
R__NOUN_NOUN_DET_ADJ	48	0	plur	גדול	wrong	original	עם זאת , נמנעו חברות ה ביטוח מ לנקוט ב צעדים נגד ה סוכנות בגלל היקפי ביטוח חיים ה	1	True	39147	4	19	עם זאת , נמנעו חברות ה ביטוח מ לנקוט ב צעדים נגד ה סוכנות בגלל היקפי ביטוח חיים ה גדולים ש סוכנות זו מוכרת . <eos>
R__NOUN_ADJ_DET_ADJ	25	1	plur	תאיים	correct	generated	עסקת זו לא תיפול ב אודיסיאה כלשהי ב גרגרים ה משובחים ה	0	False	255	4	12	עסקת זו לא תיפול ב אודיסיאה כלשהי ב גרגרים ה משובחים ה עדיפים של אגוזי ה סטיית ה דקדוקית . <eos>
R__NOUN_ADJ_DET_ADJ	25	1	plur	תאי	wrong	generated	עסקת זו לא תיפול ב אודיסיאה כלשהי ב גרגרים ה משובחים ה	0	False	5263	4	12	עסקת זו לא תיפול ב אודיסיאה כלשהי ב גרגרים ה משובחים ה עדיפים של אגוזי ה סטיית ה דקדוקית . <eos>
R__NOUN_NOUN_DET_ADJ	1	7	plur	תוססים	correct	generated	ש רוב תשדירי ה נורי ה	0	False	70	4	6	ש רוב תשדירי ה נורי ה משוחררים ו מנחילי שכונת ה משמורת , ו מוצלים מ ביטויי ו מנחילי פתרונות פטריוטיים ספורטיביים , היו בכלל יעדי מלאך . <eos>
R__NOUN_NOUN_DET_ADJ	1	7	plur	תוסס	wrong	generated	ש רוב תשדירי ה נורי ה	0	False	112	4	6	ש רוב תשדירי ה נורי ה משוחררים ו מנחילי שכונת ה משמורת , ו מוצלים מ ביטויי ו מנחילי פתרונות פטריוטיים ספורטיביים , היו בכלל יעדי מלאך . <eos>
L__NOUN_VERB_PUNCT_VERB	1	6	sing	נסגרת	correct	generated	ה כפייה ה מנשקת את שני ה פורעים מיילס ו אדידס ,	1	True	70	11	12	ה כפייה ה מנשקת את שני ה פורעים מיילס ו אדידס , פוגשת את ייצור ה שמינייה . <eos>
L__NOUN_VERB_PUNCT_VERB	1	6	sing	נסגרות	wrong	generated	ה כפייה ה מנשקת את שני ה פורעים מיילס ו אדידס ,	1	True	63	11	12	ה כפייה ה מנשקת את שני ה פורעים מיילס ו אדידס , פוגשת את ייצור ה שמינייה . <eos>
R__NOUN_NOUN_PUNCT_SCONJ_VERB	14	4	plur	מושלמות	correct	generated	ה אלקטור צאצא אירח , כי אם לא יקימו שלבי אחוריים , ינסה החזקות של קיום ה התקן , ה	2	True	92	7	20	"ה אלקטור צאצא אירח , כי אם לא יקימו שלבי אחוריים , ינסה החזקות של קיום ה התקן , ה מזדמנות ב מזגנים תחת חלון צה""ל , ל נמל היידריך . <eos>"
R__NOUN_NOUN_PUNCT_SCONJ_VERB	14	4	plur	מושלמת	wrong	generated	ה אלקטור צאצא אירח , כי אם לא יקימו שלבי אחוריים , ינסה החזקות של קיום ה התקן , ה	2	True	737	7	20	"ה אלקטור צאצא אירח , כי אם לא יקימו שלבי אחוריים , ינסה החזקות של קיום ה התקן , ה מזדמנות ב מזגנים תחת חלון צה""ל , ל נמל היידריך . <eos>"
L__NOUN_PROPN_VERB	0	7	plur	מכריעים	correct	generated	ה מחלפים ב גינסבורג ו מחוצה לה	0	False	215	6	7	ה מחלפים ב גינסבורג ו מחוצה לה ספרבילית ב צפיית ה עוצמתית ש נתפסה את ה ציור לפני שעתיים אחרי מסך וילות אירופיות למען עילה . <eos>
L__NOUN_PROPN_VERB	0	7	plur	מכריע	wrong	generated	ה מחלפים ב גינסבורג ו מחוצה לה	0	False	1901	6	7	ה מחלפים ב גינסבורג ו מחוצה לה ספרבילית ב צפיית ה עוצמתית ש נתפסה את ה ציור לפני שעתיים אחרי מסך וילות אירופיות למען עילה . <eos>
R__NOUN_NOUN_DET_ADJ	83	5	sing	נועזת	correct	generated	מ מועמדי הפסקת ה סנפיר ה	0	False	161	4	6	מ מועמדי הפסקת ה סנפיר ה רכה הצליחו מן ה אחוזה לאחר ש הקליט כי ספגו ב כרייה . <eos>
