pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
R__VERB_NOUN_CCONJ_VERB	7	6	sing	lead	wrong	generated	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and	0	True	12758	4	17	As you suggest above the dentist , the majority of the free telephony relates your hypocrisy and wakes you remain fewer and happier . <eos>	-8.12181	-9.6967	-10.8693	-10.7284	-11.9617	-11.3429	-11.1864	-9.23528	-10.4277	-10.823	-9.39938	-9.36655	-9.37624	-10.5705	-12.6568	-10.3011	-11.6053	-11.25	-11.3662	-10.2001	-8.74069	-8.70645	-12.0208	-12.0995	-10.4252	-10.3651	-11.0774	-9.47276	-9.54534	-8.40071	-9.16807	-10.2652	-8.23586	-9.11592	-8.42903	-11.665
L__NOUN_VERB_VERB	8	9	sing	remains	correct	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	9459	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-13.2811	-11.2783	-12.0515	-11.0509	-11.0111	-9.20319	-11.4573	-9.06017	-9.5278	-8.79111	-7.72863	-10.6936	-8.72459	-9.8388	-12.0939	-12.4752	-12.8452	-10.1432	-11.182	-9.14048	-12.6197	-9.20232	-10.5365	-10.8907	-12.687	-10.7619	-10.6449	-14.4057	-11.8195	-11.1922	-10.7784	-9.25178	-10.3244	-9.70366	-11.3544	-9.27137
L__NOUN_VERB_VERB	8	9	sing	remain	wrong	generated	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her	0	True	6999	4	23	Instead approve your devices to withdraw this abundantly to their centuries , and deeply again , so that the technology to vary her thinks apart . <eos>	-15.6098	-14.4692	-12.8225	-14.6726	-14.7343	-12.412	-13.6916	-15.0715	-12.1221	-11.664	-13.7196	-15.6158	-12.2447	-14.5124	-15.3757	-14.236	-16.2785	-14.2183	-15.1673	-13.5613	-13.6802	-14.4983	-17.3176	-15.8217	-14.9033	-14.0684	-12.1154	-15.3012	-14.7738	-15.4535	-13.8109	-13.3805	-11.1723	-10.8604	-13.5456	-12.9644
L__NOUN_VERB_VERB	23	4	sing	responds	correct	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	375	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-14.0593	-15.379	-15.7963	-13.2392	-17.2077	-16.5579	-16.072	-16.491	-15.0888	-16.6166	-16.1787	-14.0115	-16.0397	-16.2745	-15.8002	-15.9978	-16.7366	-16.0405	-16.3308	-16.9098	-15.0752	-17.1644	-17.6415	-16.6483	-15.6852	-17.609	-13.6797	-17.5277	-15.8725	-15.972	-15.1124	-16.6836	-17.05	-14.8456	-15.7871	-17.2897
L__NOUN_VERB_VERB	23	4	sing	respond	wrong	generated	Well , unless also sufficiently the third traveler he came in the reservation	0	True	1271	6	13	Well , unless also sufficiently the third traveler he came in the reservation plays out . <eos>	-15.0293	-15.3428	-15.6302	-13.7532	-17.9286	-17.607	-15.3148	-15.8682	-15.4234	-17.8703	-15.3884	-13.8888	-15.8733	-15.1442	-17.2156	-16.0079	-16.96	-14.2063	-16.5431	-16.7515	-17.4084	-16.7138	-16.2751	-16.5619	-14.3323	-14.0782	-14.9842	-16.6566	-16.1764	-14.5264	-14.6338	-17.0509	-16.3871	-15.9693	-15.0143	-16.6408
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sink	correct	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	580	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-7.33873	-10.7443	-6.96809	-8.8335	-9.85494	-9.91391	-8.41866	-10.4696	-8.362	-8.84421	-8.70948	-9.00775	-8.37501	-9.31805	-9.23841	-8.2649	-8.94398	-9.03314	-8.39629	-8.62907	-10.5792	-7.63501	-9.586	-7.23651	-7.43025	-8.33836	-9.2889	-8.78184	-8.11468	-10.3373	-8.91183	-8.85125	-8.12991	-7.80176	-8.91242	-10.4483
R__VERB_NOUN_CCONJ_VERB	2	6	plur	sinks	wrong	generated	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and	0	True	178	7	18	Participants obviously : Morton four through Aid fifty ( inciting you develop on the mountain we pose and pay recently to vegetable the king after we suggest ) <eos>	-9.11078	-10.5737	-9.56927	-10.3454	-13.3131	-10.6394	-11.4269	-11.3741	-9.62582	-10.5113	-8.53612	-8.99796	-9.91971	-9.88801	-11.191	-10.0868	-8.08581	-12.5206	-10.9054	-12.1089	-11.0134	-8.47854	-10.7219	-7.5415	-8.78449	-10.653	-9.59881	-10.2426	-9.81251	-11.5051	-10.4794	-10.0076	-10.192	-9.53	-9.23059	-11.0263
R__VERB_NOUN_CCONJ_VERB	4	7	plur	deserve	correct	generated	Stay me censor if you meet any submarines or	0	False	208	4	9	Stay me censor if you meet any submarines or dislike anything accurate . <eos>	-12.8193	-10.5721	-11.5043	-12.4085	-12.083	-12.6104	-13.212	-14.4147	-11.4857	-11.5774	-12.1528	-10.637	-12.0456	-11.0764	-11.876	-12.1153	-13.5032	-13.5044	-12.8768	-13.4011	-15.7951	-11.2029	-14.9498	-13.4697	-14.0713	-12.3216	-11.6213	-13.0675	-11.725	-13.6857	-10.9815	-11.436	-12.7045	-11.8314	-13.0266	-13.0556
R__VERB_NOUN_CCONJ_VERB	4	7	plur	deserves	wrong	generated	Stay me censor if you meet any submarines or	0	False	198	4	9	Stay me censor if you meet any submarines or dislike anything accurate . <eos>	-13.8686	-12.2601	-12.6323	-13.5476	-13.7747	-12.3656	-13.7997	-15.8195	-12.6293	-12.6324	-12.3853	-15.7529	-13.049	-12.5947	-12.9335	-13.8286	-14.7984	-15.9548	-12.9478	-14.9483	-16.2162	-14.1544	-16.2553	-14.9124	-16.4376	-12.7177	-12.5662	-15.7286	-12.6384	-12.3971	-12.2926	-12.7465	-13.2868	-13.5008	-13.9809	-16.1993
L__NOUN_VERB_VERB	14	8	sing	fits	correct	generated	A Thanksgiving mosque assured in Ray five	0	False	368	5	7	"A Thanksgiving mosque assured in Ray five feels , "" Due to its speech astride the Harris Lounge , Essex has precisely been a bridge to the Product . <eos>"	-11.9216	-12.4343	-12.2802	-12.0515	-13.2849	-13.3503	-14.2535	-13.8115	-15.0733	-13.6895	-15.8676	-11.2238	-15.1926	-12.9498	-11.4814	-13.4784	-15.8768	-15.5928	-12.0851	-15.5064	-12.8404	-14.5342	-12.7506	-13.2884	-13.3687	-16.0232	-13.6982	-11.7552	-15.0711	-14.9193	-12.5177	-14.319	-12.7628	-14.9535	-12.7512	-14.7128
L__NOUN_VERB_VERB	14	8	sing	fit	wrong	generated	A Thanksgiving mosque assured in Ray five	0	False	2617	5	7	"A Thanksgiving mosque assured in Ray five feels , "" Due to its speech astride the Harris Lounge , Essex has precisely been a bridge to the Product . <eos>"	-11.0952	-12.8319	-9.83663	-11.5714	-12.1602	-13.7522	-13.3661	-12.628	-13.8216	-13.5055	-14.9606	-12.8022	-12.6599	-13.5412	-13.2253	-12.489	-15.187	-13.828	-13.415	-13.4142	-14.1779	-14.129	-12.3723	-12.8242	-12.9285	-12.4104	-13.4859	-11.2921	-14.547	-8.1124	-11.2143	-13.7957	-11.735	-12.9538	-15.5689	-14.8855
R__VERB_NOUN_CCONJ_VERB	10	7	plur	deliver	correct	generated	You understand the television and	0	False	1395	4	5	You understand the television and tolerate corporation prosecution into the sentiment . <eos>	-7.6215	-8.5779	-9.22166	-9.9216	-8.78952	-9.23953	-9.68695	-7.32893	-11.157	-9.1889	-10.0814	-13.2113	-11.472	-8.84223	-12.1593	-7.61492	-8.76471	-7.26914	-10.7796	-7.61436	-9.92009	-9.84913	-7.97653	-9.04724	-11.2627	-10.4011	-9.42298	-9.30849	-7.94839	-7.39626	-8.91014	-10.0806	-9.63669	-11.1809	-9.90587	-9.60902
R__VERB_NOUN_CCONJ_VERB	10	7	plur	delivers	wrong	generated	You understand the television and	0	False	332	4	5	You understand the television and tolerate corporation prosecution into the sentiment . <eos>	-9.37331	-9.18753	-10.5002	-11.271	-9.3278	-10.4783	-10.6879	-9.91027	-11.9014	-11.1744	-11.1996	-14.8792	-11.9976	-10.006	-11.358	-8.53192	-11.4653	-10.0909	-10.5537	-7.93514	-9.4465	-10.3822	-9.89479	-9.88429	-11.5605	-10.5292	-9.89524	-10.4833	-9.57206	-9.41393	-10.277	-10.8408	-9.29008	-11.7602	-9.74728	-12.3067
L__NOUN_VERB_VERB	20	5	sing	admits	correct	generated	The impressionist treatment I took actually from them in the first clan	0	False	637	10	12	The impressionist treatment I took actually from them in the first clan agrees because my horrible patience who admitted with them was sending out on his unhappy . <eos>	-16.272	-16.2992	-12.5033	-15.2178	-18.434	-14.7809	-15.2891	-15.1683	-13.9346	-14.5141	-16.7137	-15.8472	-14.0096	-14.5261	-14.9651	-13.7526	-15.9117	-18.2425	-17.357	-17.3293	-18.6828	-14.6708	-16.3597	-14.1295	-14.83	-14.0726	-14.4139	-13.2599	-14.6585	-14.4878	-14.812	-14.4393	-13.9374	-13.5127	-15.6889	-17.4366
L__NOUN_VERB_VERB	20	5	sing	admit	wrong	generated	The impressionist treatment I took actually from them in the first clan	0	False	722	10	12	The impressionist treatment I took actually from them in the first clan agrees because my horrible patience who admitted with them was sending out on his unhappy . <eos>	-16.409	-15.1889	-13.1964	-16.1806	-14.9982	-13.8507	-15.3136	-14.9187	-13.467	-13.1597	-15.2068	-17.5519	-13.4289	-14.6001	-15.1094	-14.6682	-14.2563	-17.2985	-15.3374	-17.5246	-16.7245	-16.7201	-14.8445	-15.4857	-14.8034	-15.8789	-14.0084	-15.4368	-15.2525	-14.3035	-15.4546	-13.3974	-13.9225	-13.8416	-15.7211	-17.0613
R__VERB_NOUN_CCONJ_VERB	10	8	plur	provide	correct	generated	You appreciate the strife and	0	False	12768	4	5	You appreciate the strife and seek wire billing into the trafficking . <eos>	-10.1905	-9.10387	-8.76892	-9.44399	-12.8305	-9.03739	-8.5268	-8.20395	-8.52038	-8.28107	-10.6938	-10.6544	-8.23761	-7.79053	-11.5661	-8.13093	-9.88067	-7.70139	-10.5472	-7.62454	-10.1469	-9.69349	-9.35054	-9.23224	-8.65375	-7.96633	-9.5344	-11.1645	-7.94945	-7.41038	-9.79915	-8.54267	-11.099	-7.34189	-8.74891	-9.52721
R__VERB_NOUN_CCONJ_VERB	10	8	plur	provides	wrong	generated	You appreciate the strife and	0	False	7409	4	5	You appreciate the strife and seek wire billing into the trafficking . <eos>	-10.825	-10.1811	-10.6756	-12.4369	-12.8732	-10.3197	-11.3859	-10.8837	-10.5202	-10.1448	-11.5715	-12.6594	-10.557	-9.1172	-12.1233	-9.9437	-11.4105	-10.7352	-10.2644	-10.0336	-9.53805	-12.1911	-9.63298	-10.8001	-9.24001	-11.2722	-10.1924	-11.604	-10.4931	-11.1075	-10.151	-9.98683	-10.9757	-9.61473	-10.6848	-10.7012
L__NOUN_VERB_VERB	19	1	plur	assume	correct	generated	the arrogant laptops we pale in our hibernation	1	False	1201	6	8	the arrogant laptops we pale in our hibernation agree ; we meet journalist magnitude for easter , pregnancy culture and nausea - language for Manson . <eos>	-14.0318	-12.4737	-14.0034	-12.7332	-15.9119	-13.2121	-12.4627	-12.5015	-12.5723	-13.7917	-11.6579	-14.3741	-13.3467	-14.211	-13.1978	-12.6804	-13.6228	-14.2148	-14.623	-14.8914	-14.389	-13.1363	-10.4678	-10.5949	-12.5741	-12.0306	-12.3801	-13.7059	-12.8144	-13.6197	-12.8075	-13.3689	-14.0525	-13.8808	-12.5766	-12.0779
L__NOUN_VERB_VERB	19	1	plur	assumes	wrong	generated	the arrogant laptops we pale in our hibernation	1	False	647	6	8	the arrogant laptops we pale in our hibernation agree ; we meet journalist magnitude for easter , pregnancy culture and nausea - language for Manson . <eos>	-14.4566	-11.7719	-14.6408	-11.6825	-14.0218	-14.2072	-13.5088	-13.2874	-13.4972	-14.0833	-13.0298	-15.0704	-14.4376	-13.3169	-13.7207	-14.1807	-14.3294	-13.381	-13.0519	-13.731	-12.0605	-13.4836	-14.4104	-13.2486	-13.2612	-14.2059	-14.3111	-13.1363	-12.1728	-14.5653	-12.8306	-14.0789	-14.9136	-14.532	-13.0156	-10.76
R__VERB_NOUN_CCONJ_VERB	10	4	plur	serve	correct	generated	You exist the membership and	0	False	7238	4	5	You exist the membership and deserve crowd forum into the pleasure . <eos>	-8.37118	-7.575	-8.44181	-8.6394	-8.06413	-8.85857	-7.02205	-7.4495	-7.60133	-7.68251	-8.41712	-11.2132	-7.90551	-7.44529	-8.12706	-6.66269	-7.88246	-7.13223	-8.44679	-8.98166	-9.84299	-8.21429	-6.93536	-8.35046	-8.67597	-9.284	-10.1014	-9.71397	-6.87376	-6.82442	-7.02343	-7.67757	-7.86306	-8.84368	-8.36897	-7.51139
R__VERB_NOUN_CCONJ_VERB	10	4	plur	serves	wrong	generated	You exist the membership and	0	False	4701	4	5	You exist the membership and deserve crowd forum into the pleasure . <eos>	-8.0383	-8.91767	-9.03798	-10.2026	-9.16132	-7.08607	-8.07155	-8.22782	-8.45047	-7.05226	-9.90798	-10.6818	-8.7877	-9.19253	-9.44367	-9.0207	-10.1428	-9.14201	-7.62882	-9.41183	-8.19805	-7.78133	-8.67255	-9.47754	-9.13482	-10.5058	-9.81167	-9.98451	-7.28555	-7.54434	-8.11116	-7.24483	-8.83105	-7.96605	-8.27074	-9.91617
R__VERB_NOUN_CCONJ_VERB	8	6	sing	flies	correct	generated	It represents the chase for liability equity and	0	False	692	7	8	It represents the chase for liability equity and demonstrates , “ We are delivered that the Thursday should not impose with concerned - philosophy destinations who pale to suffer and greet gently and utterly in the cleaners , lines , and parents of slick rejection . ” <eos>	-12.8615	-12.8964	-12.803	-10.9371	-12.4699	-12.1513	-12.5596	-12.451	-12.5832	-12.1767	-13.2109	-12.0833	-12.5821	-11.247	-12.5996	-13.1975	-13.8865	-14.0005	-14.5258	-13.7481	-13.4219	-10.9209	-14.0181	-11.5049	-12.2999	-15.1404	-13.7099	-12.9664	-13.6615	-14.4907	-13.2388	-12.0286	-14.0657	-11.4431	-13.2492	-12.4738
R__VERB_NOUN_CCONJ_VERB	8	6	sing	fly	wrong	generated	It represents the chase for liability equity and	0	False	2198	7	8	It represents the chase for liability equity and demonstrates , “ We are delivered that the Thursday should not impose with concerned - philosophy destinations who pale to suffer and greet gently and utterly in the cleaners , lines , and parents of slick rejection . ” <eos>	-11.7372	-11.243	-13.9369	-13.037	-12.1781	-11.8406	-13.1353	-13.354	-11.5578	-11.6077	-12.1127	-12.892	-11.6141	-11.8415	-12.4462	-13.0735	-13.9701	-12.5183	-13.4017	-13.9166	-15.205	-11.0817	-12.6711	-10.7772	-14.2063	-14.6804	-11.1826	-13.8316	-13.9887	-11.9854	-13.4758	-11.6891	-13.4445	-11.3546	-13.6419	-13.3656
L__NOUN_VERB_VERB	15	4	sing	intends	correct	generated	The overcrowded parking to contradict for religious	0	False	341	5	7	The overcrowded parking to contradict for religious identifies to hang fifty , or your mode mother budget default , and enjoy . <eos>	-16.4008	-18.594	-17.5859	-16.6617	-17.0506	-16.9475	-17.1295	-18.7701	-16.6295	-15.1695	-15.5805	-20.8276	-15.4785	-16.8561	-16.7943	-17.7664	-18.0604	-16.0129	-18.5841	-17.5882	-17.7555	-16.6671	-16.6474	-17.3508	-18.8425	-17.8038	-17.9291	-16.6846	-17.9009	-19.0985	-18.3129	-15.6683	-16.8071	-15.9989	-16.518	-15.0324
L__NOUN_VERB_VERB	15	4	sing	intend	wrong	generated	The overcrowded parking to contradict for religious	0	False	327	5	7	The overcrowded parking to contradict for religious identifies to hang fifty , or your mode mother budget default , and enjoy . <eos>	-16.0488	-17.6036	-16.4014	-17.142	-19.204	-15.6705	-14.8635	-19.1068	-16.2921	-14.811	-16.8416	-21.9256	-15.6908	-17.2928	-15.476	-16.9576	-18.3241	-15.9382	-18.032	-14.7606	-17.3777	-17.4952	-16.4601	-18.5553	-18.8421	-16.0386	-16.5057	-17.0343	-17.658	-17.4289	-16.8766	-15.5083	-16.7512	-14.4004	-16.4641	-16.9163
L__NOUN_VERB_VERB	7	4	sing	shows	correct	generated	Can you enter that the device we are giving	0	False	10751	4	9	Can you enter that the device we are giving dies toward a stupid and hopeful balcony ? <eos>	-9.69882	-9.62815	-10.2143	-11.1015	-10.5133	-10.2243	-10.7681	-10.153	-10.6333	-11.0852	-8.80047	-8.1191	-10.9674	-10.4149	-11.0864	-9.69348	-9.71376	-7.14704	-8.46537	-12.5	-10.543	-10.7227	-10.0012	-10.3892	-10.0199	-11.45	-11.7406	-9.31949	-10.5935	-11.7279	-11.6866	-10.5892	-9.48834	-10.5875	-10.1167	-10.5621
L__NOUN_VERB_VERB	7	4	sing	show	wrong	generated	Can you enter that the device we are giving	0	False	26893	4	9	Can you enter that the device we are giving dies toward a stupid and hopeful balcony ? <eos>	-10.5468	-12.3387	-12.4841	-12.4528	-10.7186	-10.2296	-10.9672	-12.6321	-11.0322	-11.6804	-10.1747	-9.85666	-11.0213	-11.0302	-11.7817	-11.7196	-9.74109	-9.84022	-9.92556	-11.3604	-9.60042	-9.90886	-11.2074	-9.74309	-11.0154	-11.2931	-12.8325	-9.91682	-11.045	-11.0717	-11.4568	-11.3516	-10.6178	-10.4384	-11.1839	-10.4053
L__NOUN_VERB_VERB	10	7	sing	offers	correct	generated	The civil notion I met this globe	0	False	5191	5	7	The civil notion I met this globe involves to engage anyone stating this if they put of some nausea I can forget squeeze a kitten to this Section Golden . <eos>	-10.9198	-10.2764	-12.6776	-11.0545	-11.904	-12.0641	-11.2407	-13.2004	-11.4501	-11.3623	-11.274	-10.5654	-12.3206	-11.535	-12.8687	-14.1845	-12.4638	-10.3195	-11.5939	-12.8334	-13.1276	-8.88477	-11.5187	-12.0934	-14.4173	-11.5454	-11.3707	-12.9891	-10.0289	-12.6788	-10.7225	-10.339	-10.5507	-12.5296	-12.5221	-11.2959
L__NOUN_VERB_VERB	10	7	sing	offer	wrong	generated	The civil notion I met this globe	0	False	5822	5	7	The civil notion I met this globe involves to engage anyone stating this if they put of some nausea I can forget squeeze a kitten to this Section Golden . <eos>	-12.9978	-10.0521	-12.3851	-12.2534	-11.9072	-11.872	-11.6638	-13.2007	-11.3402	-11.4029	-10.2733	-9.83191	-10.3953	-12.4179	-10.73	-13.2881	-10.1041	-12.8705	-10.9223	-12.214	-12.6058	-11.0998	-12.4426	-11.7918	-14.1609	-12.5095	-10.6745	-13.6281	-10.791	-11.6532	-10.8207	-10.5634	-11.0657	-12.167	-11.2706	-11.0945
L__NOUN_VERB_VERB	13	3	sing	attacks	correct	generated	"Because of the territory that his nervous nightmare with Cargill EPA had contained him , he learned snakes surprising as : "" You can reflect a factor and a dad , eight pie you ca n't represent"	0	True	5512	5	37	"Because of the territory that his nervous nightmare with Cargill EPA had contained him , he learned snakes surprising as : "" You can reflect a factor and a dad , eight pie you ca n't represent objects whenever you 're necessary appropriately "" and brought fights to the "" Boy Vietnam "" pipe forming that "" super he sat Philippine sandwiches to prefer just nuclear as a gym "" . <eos>"	-12.8106	-12.2476	-11.6387	-13.3687	-13.3728	-12.6792	-13.3028	-12.2452	-11.5489	-11.9071	-12.1999	-12.5653	-11.8131	-12.6833	-12.3761	-13.3367	-11.9208	-13.4162	-13.4466	-12.0314	-13.2948	-12.3483	-12.4212	-14.1867	-12.5664	-13.6951	-11.0164	-11.6039	-12.1766	-12.1303	-12.2795	-11.8598	-11.3895	-13.3016	-11.3306	-13.5807
L__NOUN_VERB_VERB	13	3	sing	attack	wrong	generated	"Because of the territory that his nervous nightmare with Cargill EPA had contained him , he learned snakes surprising as : "" You can reflect a factor and a dad , eight pie you ca n't represent"	0	True	11547	5	37	"Because of the territory that his nervous nightmare with Cargill EPA had contained him , he learned snakes surprising as : "" You can reflect a factor and a dad , eight pie you ca n't represent objects whenever you 're necessary appropriately "" and brought fights to the "" Boy Vietnam "" pipe forming that "" super he sat Philippine sandwiches to prefer just nuclear as a gym "" . <eos>"	-11.9981	-11.1205	-13.6319	-15.0452	-14.8792	-13.7443	-12.5641	-13.3137	-13.0532	-12.859	-14.7021	-13.4837	-13.2977	-13.4773	-13.4349	-12.3767	-11.3352	-13.8025	-13.057	-12.6661	-15.1376	-14.8258	-11.1714	-14.2691	-13.4865	-12.7223	-12.9706	-14.1988	-12.2886	-13.5551	-13.6908	-12.8363	-12.9808	-14.8287	-11.3801	-13.9699
R__VERB_NOUN_CCONJ_VERB	15	3	sing	leaves	correct	generated	If you laugh a liver who will miss to you and manipulate he will accept and then disappear his welfare , and not recreate what he is bleeding about whenever he defeats carriers at easy fixtures and	0	True	4475	6	37	If you laugh a liver who will miss to you and manipulate he will accept and then disappear his welfare , and not recreate what he is bleeding about whenever he defeats carriers at easy fixtures and seems they apologize what you throw , whenever they will not make for you , destroy to this foreigner ... he is the inch for you . <eos>	-8.3131	-9.97716	-9.90035	-9.5528	-9.20602	-10.4764	-12.9835	-11.6342	-10.4668	-10.0971	-9.69021	-10.4641	-10.3902	-10.0033	-9.95484	-11.807	-9.30384	-11.2986	-10.2827	-8.48943	-11.4776	-8.83289	-11.6036	-8.95726	-11.4362	-11.33	-8.95037	-10.9967	-9.1687	-9.55405	-10.4043	-9.74582	-10.1728	-9.70698	-11.2208	-8.94199
R__VERB_NOUN_CCONJ_VERB	15	3	sing	leave	wrong	generated	If you laugh a liver who will miss to you and manipulate he will accept and then disappear his welfare , and not recreate what he is bleeding about whenever he defeats carriers at easy fixtures and	0	True	7404	6	37	If you laugh a liver who will miss to you and manipulate he will accept and then disappear his welfare , and not recreate what he is bleeding about whenever he defeats carriers at easy fixtures and seems they apologize what you throw , whenever they will not make for you , destroy to this foreigner ... he is the inch for you . <eos>	-6.99716	-9.08567	-10.9509	-7.08934	-10.7202	-8.53992	-9.57573	-8.85962	-7.83093	-7.34168	-9.99619	-8.08662	-7.3315	-8.23569	-8.12216	-9.36119	-8.38497	-8.61357	-7.58043	-8.30548	-7.40635	-7.1095	-8.05993	-8.45084	-9.12495	-8.35278	-8.78498	-8.52538	-7.56274	-8.82969	-8.70218	-8.00893	-9.27074	-8.1279	-9.23822	-8.11007
L__NOUN_VERB_VERB	5	5	sing	explains	correct	generated	Unfortunately , the universal eye controlled for expression	0	True	1823	4	8	Unfortunately , the universal eye controlled for expression uses whether our Amendment ( the essential option and wholly the item they manage to foresee ) is or involves not an unacceptable loading under the tire . <eos>	-13.029	-13.212	-11.9844	-13.1466	-12.2551	-13.1757	-12.3845	-12.8524	-12.9786	-13.0428	-13.0183	-13.0816	-12.7885	-13.4395	-12.9089	-12.625	-12.8365	-13.3447	-13.8624	-11.7063	-14.2431	-11.7169	-13.325	-12.7942	-13.7904	-12.2794	-12.6243	-10.9806	-12.6263	-13.5538	-12.7349	-13.0837	-12.0758	-11.8393	-13.7661	-13.2322
L__NOUN_VERB_VERB	5	5	sing	explain	wrong	generated	Unfortunately , the universal eye controlled for expression	0	True	2136	4	8	Unfortunately , the universal eye controlled for expression uses whether our Amendment ( the essential option and wholly the item they manage to foresee ) is or involves not an unacceptable loading under the tire . <eos>	-14.3394	-15.8354	-13.8742	-15.5809	-14.1804	-13.002	-14.058	-15.9295	-13.7035	-13.0397	-15.476	-15.3643	-13.5277	-14.0456	-14.613	-13.5454	-14.4858	-15.3213	-14.8299	-15.0756	-13.4442	-13.2717	-14.9754	-14.3116	-19.7143	-14.8076	-13.4306	-16.253	-12.791	-16.1628	-12.2875	-12.8022	-13.7851	-14.4153	-14.9309	-15.8656
R__VERB_NOUN_CCONJ_VERB	0	6	plur	smell	correct	generated	Forces make the ear but	0	False	493	4	5	Forces make the ear but pose her rude spin and the weight belongs . <eos>	-11.6521	-10.4808	-10.6492	-10.3423	-12.1637	-10.9995	-9.00661	-9.44133	-10.5149	-9.65348	-10.1237	-9.96037	-11.0618	-11.4902	-12.626	-10.538	-7.51839	-11.4787	-11.0065	-9.35457	-10.5888	-10.9711	-10.0295	-7.93654	-10.512	-10.1508	-11.952	-10.6372	-10.8058	-9.64314	-10.2753	-9.97995	-10.8024	-10.4949	-10.2074	-13.0355
R__VERB_NOUN_CCONJ_VERB	0	6	plur	smells	wrong	generated	Forces make the ear but	0	False	85	4	5	Forces make the ear but pose her rude spin and the weight belongs . <eos>	-13.7068	-11.0861	-10.8109	-10.5217	-11.4032	-10.2704	-10.2608	-12.1515	-10.2192	-10.3448	-12.1122	-10.221	-10.7622	-11.1288	-11.9827	-10.7142	-10.5273	-13.3139	-12.2776	-10.9362	-12.4234	-11.7782	-10.2554	-10.8876	-10.6166	-12.6273	-11.4495	-10.888	-10.7352	-11.4785	-10.9155	-10.7687	-12.0511	-10.3259	-11.4211	-14.3662
L__NOUN_VERB_VERB	24	2	plur	believe	correct	generated	Parties who come these options	0	False	5091	5	5	Parties who come these options provide at the attachment onboard ; and it 's major to pour they are ordinary and maritime to bless no if they seek there would throw a beak . <eos>	-9.4264	-10.0898	-10.8092	-8.9307	-9.39131	-11.8729	-8.9361	-9.77127	-10.649	-9.40168	-12.7756	-10.8691	-11.502	-9.41864	-10.1675	-8.96543	-8.31409	-11.3078	-9.61264	-9.34839	-11.0817	-11.6615	-9.04652	-10.4987	-8.43324	-10.8627	-9.74572	-10.6526	-7.10969	-8.88984	-10.6265	-11.3856	-8.95211	-11.7571	-9.17659	-9.46034
